subject,screen,type,order,time_1,time_2,choice_1,choice_2,p1,p2,p3,q1,q2,q3,up1,up2,up3,order1,order2,order3
804020,42,compromise,7,6755,12482,target,competitor,136.0544217687074,218.1594657485965,88.14669372770133,142.8571428571428,208.2431263963885,92.55402841408666,0.9524,1.0476,0.9524,competitor,decoy,target
804021,1,decoy,19,4105,NA,target,NA,220.00000000000028,129.87012987013017,253.00000000000003,230.99999999999932,136.36363636363623,230.99999999999932,0.9524,0.9524,1.0952,target,decoy,competitor
804021,2,decoy,10,2612,NA,competitor,NA,129.87012987013017,220.00000000000028,129.87012987013017,136.36363636363623,230.99999999999932,118.57707509881416,0.9524,0.9524,1.0952,competitor,decoy,target
804021,3,decoy,17,3380,NA,target,NA,220.00000000000028,122.4006153836726,253.00000000000003,230.99999999999932,141.37271076814173,230.99999999999932,0.9524,0.8658,1.0952,decoy,target,competitor
804021,4,decoy,38,1764,12300,competitor,target,122.4006153836726,220.00000000000028,122.4006153836726,141.37271076814173,230.99999999999932,122.9327919722972,0.8658,0.9524,0.9957,competitor,decoy,target
804021,5,decoy,21,5361,NA,competitor,NA,129.87012987013017,212.20502766762016,129.87012987013017,136.36363636363623,245.0968069561011,118.57707509881416,0.9524,0.8658,1.0952,decoy,target,competitor
804021,6,decoy,42,2311,NA,target,NA,212.20502766762016,129.87012987013017,244.03578181776336,245.0968069561011,136.36363636363623,245.0968069561011,0.8658,0.9524,0.9957,target,decoy,competitor
804021,7,decoy,23,4295,NA,target,NA,212.20502766762016,122.4006153836726,244.03578181776336,245.0968069561011,141.37271076814173,245.0968069561011,0.8658,0.8658,0.9957,competitor,decoy,target
804021,8,decoy,26,3427,NA,competitor,NA,122.4006153836726,212.20502766762016,122.4006153836726,141.37271076814173,245.0968069561011,122.9327919722972,0.8658,0.8658,0.9957,competitor,target,decoy
804021,9,decoy,27,2509,NA,competitor,NA,137.79547251144095,220.00000000000028,137.79547251144095,131.5320419427396,230.99999999999932,114.37568864586056,1.0476,0.9524,1.2048,decoy,target,competitor
804021,10,decoy,28,1854,NA,target,NA,220.00000000000028,137.79547251144095,253.00000000000003,230.99999999999932,131.5320419427396,230.99999999999932,0.9524,1.0476,1.0952,competitor,decoy,target
804021,11,decoy,2,2120,NA,target,NA,228.08130670593567,129.87012987013017,262.29350271182597,217.7139745829394,136.36363636363623,217.7139745829394,1.0476,0.9524,1.2048,competitor,decoy,target
