"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw","Chain"
"119",-266.14,-2.66238,1.75251,1.02336,0.702254,5.746,0.781343,0.955827,1,0,0,1,119,1,1
"120",-213.414,-1.83432,1.80552,1.07772,0.795915,5.59146,0.791263,0.97123,1,0,0,1,120,1,1
"121",-269.434,-3.18081,1.81932,1.11063,0.696684,5.66378,0.729306,0.998905,1,0,0,1,121,1,1
"122",-216.43,-4.77774,1.88525,1.08172,0.79128,5.45288,0.784791,1.00992,1,0,0,1,122,1,1
"123",-232.262,-2.26229,1.77314,1.00817,0.660419,5.64495,0.773692,0.979611,1,0,0,1,123,1,1
"124",-266.773,-1.04725,1.79798,1.0715,0.744917,5.66433,0.768085,0.961842,1,0,0,1,124,1,1
"125",-213.703,-1.98956,1.82777,1.01211,0.740439,5.6091,0.784655,0.955219,1,0,0,1,125,1,1
"126",-233.741,-4.70697,1.87868,0.991006,0.815357,5.76359,0.709516,0.978988,1,0,0,1,126,1,1
"127",-230.313,-1.44566,1.78355,1.02948,0.783794,5.53502,0.730166,0.954028,1,0,0,1,127,1,1
"128",-216.105,-2.42311,1.79353,1.01972,0.870931,5.5663,0.791373,0.961095,1,0,0,1,128,1,1
"129",-249.291,-1.71024,1.82654,1.08744,0.779614,5.72659,0.778234,0.975478,1,0,0,1,129,1,1
"130",-216.339,-4.23933,1.73889,0.990223,0.849384,5.65712,0.776081,1.03085,1,0,0,1,130,1,1
"131",-229.9,-0.725626,1.80618,1.02052,0.742965,5.51497,0.739063,0.974539,1,0,0,1,131,1,1
"132",-230.95,-3.42696,1.85174,0.989913,0.703361,5.64606,0.715996,0.992523,1,0,0,1,132,1,1
"133",-212.714,-1.76382,1.76556,1.08606,0.853451,5.55228,0.748443,0.979223,1,0,0,1,133,1,1
"134",-252.356,-3.68684,1.7601,1.0865,0.730535,5.64408,0.807463,0.994286,1,0,0,1,134,1,1
"135",-266.939,-1.91785,1.73532,1.04833,0.773686,5.79055,0.749079,0.965876,1,0,0,1,135,1,1
"136",-214.245,-1.83719,1.78027,1.03889,0.910234,5.52768,0.745869,0.989405,1,0,0,1,136,1,1
"137",-266.703,-2.22385,1.82621,1.09003,0.692758,5.68638,0.759376,0.965416,1,0,0,1,137,1,1
"138",-267.166,-1.7237,1.8168,1.03322,0.690278,5.77077,0.732163,0.971434,1,0,0,1,138,1,1
"139",-229.812,-1.08536,1.78527,0.999815,0.747076,5.68197,0.776078,0.971226,1,0,0,1,139,1,1
"140",-229.504,-1.65317,1.82963,1.01391,0.74879,5.89994,0.756885,0.988691,1,0,0,1,140,1,1
"141",-271.58,-2.74076,1.81555,1.08051,0.686337,5.89058,0.746542,0.994475,1,0,0,1,141,1,1
"142",-306.08,-2.66369,1.79553,1.05458,0.704913,5.87623,0.720317,0.997226,1,0,0,1,142,1,1
"143",-230.189,-0.378551,1.82146,1.04806,0.76343,5.63205,0.758328,0.996322,1,0,0,1,143,1,1
"144",-214.625,-3.67694,1.7816,1.05836,0.987165,5.67438,0.758869,0.973713,1,0,0,1,144,1,1
"145",-215.354,-3.71231,1.77558,1.05697,0.903132,5.62748,0.806179,0.990582,1,0,0,1,145,1,1
"146",-216.307,-5.9744,1.8041,1.08867,0.777057,5.2179,0.709822,0.967181,1,0,0,1,146,1,1
"147",-268.057,-4.22016,1.78841,1.06994,0.732073,5.8645,0.754841,0.92535,1,0,0,1,147,1,1
"148",-231.494,-2.84995,1.7244,1.00566,0.860042,5.58401,0.739361,0.976836,1,0,0,1,148,1,1
"149",-232.3,-3.7565,1.84421,0.955169,0.715489,5.64789,0.736345,0.965782,1,0,0,1,149,1,1
"150",-232.428,-6.6928,1.68852,1.00786,0.73306,5.2853,0.746562,0.996191,1,0,0,1,150,1,1
"151",-213.567,-1.9008,1.78255,1.07177,0.831805,5.69704,0.791355,0.978258,1,0,0,1,151,1,1
"152",-268.421,-3.85492,1.86623,1.10662,0.735471,5.72835,0.734826,1.00548,1,0,0,1,152,1,1
"153",-275.897,-7.18489,1.86568,1.01405,0.705238,6.11902,0.740199,1.02748,1,0,0,1,153,1,1
"154",-236.15,-5.70285,1.73029,1.04221,0.920602,5.95611,0.763138,1.01916,1,0,0,1,154,1,1
"155",-233.563,-3.28013,1.77661,0.979697,0.78042,5.52054,0.752784,0.935852,1,0,0,1,155,1,1
"156",-233.864,-4.03548,1.74948,1.02111,0.686954,5.44595,0.715322,1.0082,1,0,0,1,156,1,1
"157",-266.827,-2.67421,1.84659,1.05421,0.728143,5.86172,0.752148,0.952188,1,0,0,1,157,1,1
"158",-230.03,-0.897303,1.81087,1.01301,0.827911,5.78038,0.749797,0.97227,1,0,0,1,158,1,1
"159",-212.997,-1.82163,1.77086,1.08131,0.837941,5.55377,0.778988,0.989316,1,0,0,1,159,1,1
"160",-222.304,-4.50815,1.83208,1.00981,0.945858,5.4515,0.756341,0.947219,1,0,0,1,160,1,1
"161",-215.289,-2.01092,1.79204,1.0151,0.917803,5.55678,0.741203,0.987443,1,0,0,1,161,1,1
"162",-213.389,-1.75244,1.79451,1.0439,0.897541,5.63973,0.734102,0.9683,1,0,0,1,162,1,1
"163",-214.956,-3.1335,1.81365,1.0156,0.76192,5.28347,0.729008,0.971472,1,0,0,1,163,1,1
"164",-213.636,-2.50941,1.72751,1.03606,0.783858,5.55259,0.786399,0.981046,1,0,0,1,164,1,1
