# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# start_datetime = 2022-06-18 12:48:09 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.0050000000000000001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpsTGGY7/standata-61f85a1a2f1c.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpsTGGY7/init-1-61f842df684d.json
# random
#   seed = 603951583
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/fit_barre_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_single_v8_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,alpha,k,tau,delta
# Stepsize adaptation complete.
# eta = 1
0,-294.898,-5.12471,1.86959,0.957535,0.542158,3.75281,0.650012,1.57533,1,0,0
0,-287.842,-4.46434,1.87537,0.979629,0.490498,3.3488,0.638219,1.55983,1,0,0
0,-288.475,-5.17241,1.8865,0.916802,0.53371,3.6048,0.739629,1.57655,1,0,0
0,-282.773,-1.77418,1.90777,0.975575,0.45666,3.50645,0.685232,1.4631,1,0,0
0,-283.922,-0.531392,1.87782,0.923968,0.485311,3.54939,0.675713,1.51835,1,0,0
0,-285.68,-1.19427,1.87905,0.947625,0.444111,3.65757,0.636805,1.49803,1,0,0
0,-284.612,-3.20811,1.81468,0.976818,0.568509,3.51509,0.693384,1.47404,1,0,0
0,-282.96,-1.59872,1.88244,0.901764,0.499519,3.65449,0.684748,1.48447,1,0,0
0,-285.103,-1.32671,1.82327,0.943412,0.48741,3.55026,0.66583,1.48656,1,0,0
0,-283.108,-2.5913,1.89138,0.968164,0.497909,3.65015,0.705692,1.4479,1,0,0
0,-285.905,-1.55662,1.8696,0.925348,0.477892,3.45156,0.657782,1.53765,1,0,0
0,-294.691,-2.64257,1.84258,0.952859,0.40221,3.791,0.707216,1.50408,1,0,0
0,-290.244,-8.33075,1.82558,0.869077,0.315721,3.38209,0.734384,1.50837,1,0,0
0,-286.244,-3.49666,1.85725,0.937416,0.445493,3.50475,0.784544,1.50391,1,0,0
0,-287.136,-5.65698,1.90224,0.956884,0.378787,3.64404,0.710576,1.41927,1,0,0
0,-283.392,-0.207043,1.86408,0.94221,0.447671,3.53782,0.665427,1.4917,1,0,0
0,-286.399,-2.22486,1.86489,0.959692,0.355428,3.51873,0.636636,1.49986,1,0,0
0,-286.953,-4.0261,1.88794,0.877678,0.609572,3.53878,0.676074,1.51067,1,0,0
0,-284.533,-1.75235,1.82512,0.918875,0.445083,3.5324,0.684988,1.47306,1,0,0
0,-283.788,-2.81574,1.88929,0.950966,0.564923,3.60122,0.650453,1.45491,1,0,0
0,-288.387,-2.56847,1.87967,0.98363,0.432667,3.57405,0.614244,1.52205,1,0,0
0,-288.763,-4.26578,1.89379,0.896413,0.570211,3.43739,0.669671,1.55146,1,0,0
0,-282.898,-3.70728,1.90155,1.02996,0.513644,3.45672,0.669893,1.47182,1,0,0
0,-284.845,-1.17342,1.87544,0.933408,0.472996,3.48105,0.714607,1.5314,1,0,0
0,-287.352,-3.6622,1.80446,0.916988,0.449794,3.50793,0.742059,1.49917,1,0,0
0,-286.303,-6.36927,1.91305,0.868687,0.401756,3.84324,0.673978,1.51021,1,0,0
0,-283.311,-1.09977,1.88615,0.960742,0.472034,3.616,0.656623,1.46999,1,0,0
0,-282.95,-1.15969,1.87374,0.983332,0.46571,3.40976,0.689347,1.49636,1,0,0
0,-287.412,-1.65919,1.84904,0.968015,0.499235,3.52642,0.639922,1.53103,1,0,0
0,-286.35,-3.9382,1.87159,0.945963,0.335748,3.54286,0.731452,1.45733,1,0,0
0,-290.378,-13.6811,1.83424,0.960422,0.511247,3.02387,0.631249,1.4646,1,0,0
0,-284.862,-4.43326,1.89603,0.886049,0.382314,3.63735,0.722238,1.4565,1,0,0
0,-286.373,-3.63564,1.86769,0.925672,0.399831,3.38233,0.760428,1.49439,1,0,0
0,-283.183,-2.16551,1.92722,0.954671,0.504838,3.6024,0.654258,1.48718,1,0,0
0,-287.62,-5.43141,1.80024,0.967906,0.453636,3.53976,0.755094,1.45294,1,0,0
0,-282.862,-1.49777,1.88731,0.951936,0.430612,3.45977,0.651447,1.46803,1,0,0
0,-288.107,-2.7452,1.87887,0.969597,0.417516,3.60867,0.752114,1.53804,1,0,0
0,-285.791,-3.05215,1.84652,0.906054,0.482784,3.35515,0.647217,1.4848,1,0,0
0,-286.682,-3.23019,1.92432,0.937858,0.429163,3.72878,0.685286,1.54043,1,0,0
0,-287.701,-8.02849,1.82627,0.94384,0.604783,3.7467,0.658202,1.41746,1,0,0
0,-283.359,-1.31265,1.86772,0.971102,0.467384,3.5133,0.643312,1.47095,1,0,0
0,-289.026,-3.9092,1.90681,1.02191,0.524815,3.72077,0.657943,1.51385,1,0,0
0,-288.588,-1.75476,1.82367,0.928762,0.462876,3.59143,0.681295,1.53377,1,0,0
0,-285.486,-3.61048,1.93748,0.929656,0.44198,3.43906,0.704107,1.46383,1,0,0
0,-288.149,-2.2412,1.88168,0.93073,0.392002,3.64392,0.705545,1.54689,1,0,0
0,-284.576,-3.93402,1.94489,0.988262,0.458757,3.63013,0.727893,1.51302,1,0,0
0,-285.138,-3.46833,1.901,0.964262,0.470142,3.42144,0.766721,1.49311,1,0,0
0,-290.947,-4.85746,1.8392,0.892225,0.539171,3.73847,0.653332,1.54897,1,0,0
0,-291.932,-1.78012,1.85812,0.95379,0.42697,3.7675,0.677497,1.52029,1,0,0
0,-287.624,-4.07304,1.83995,0.953825,0.338111,3.38656,0.644793,1.5211,1,0,0
0,-286.601,-1.02448,1.84224,0.967924,0.410037,3.52618,0.709104,1.51041,1,0,0
0,-285.243,-2.52718,1.84749,0.927542,0.598297,3.6531,0.658841,1.49422,1,0,0
0,-287.713,-1.70412,1.82283,0.967989,0.444829,3.50184,0.707177,1.52282,1,0,0
0,-283.385,-2.40023,1.92302,0.916093,0.498993,3.59507,0.689199,1.47214,1,0,0
