# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# start_datetime = 2022-06-19 13:02:36 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.0050000000000000001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpGU2eYh/standata-8cfc40ff781b.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpGU2eYh/init-1-8cfc684fd5e.json
# random
#   seed = 957596559
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/fit_chiffre_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_single_v8_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,alpha,k,tau,delta
# Stepsize adaptation complete.
# eta = 1
0,-463.757,-2.32111,1.45558,0.937889,0.282371,2.51404,1.51352,1.33922,1,0,0
0,-460.537,-0.712097,1.49701,0.95496,0.254703,2.62098,1.51778,1.36116,1,0,0
0,-467.181,-1.82769,1.5431,0.945027,0.270552,2.60915,1.42206,1.345,1,0,0
0,-462.159,-2.84986,1.51731,1.01121,0.232332,2.49336,1.48238,1.35546,1,0,0
0,-458.537,-0.336561,1.46864,0.982861,0.290182,2.63721,1.48684,1.34825,1,0,0
0,-460.253,-0.587638,1.49795,0.953117,0.28326,2.70234,1.53746,1.33517,1,0,0
0,-473.132,-4.06752,1.52958,0.968103,0.25843,2.47807,1.46525,1.28998,1,0,0
0,-458.64,-1.31667,1.44806,1.00744,0.258432,2.65358,1.43713,1.34026,1,0,0
0,-459.886,-3.60723,1.42525,1.05481,0.271273,2.76538,1.48717,1.3577,1,0,0
0,-462.442,-6.02104,1.41393,0.934711,0.343696,2.68172,1.35494,1.33891,1,0,0
0,-461.715,-5.14714,1.46952,0.982507,0.257871,2.8996,1.55939,1.28376,1,0,0
0,-461.136,-1.12703,1.48513,0.987379,0.283335,2.53783,1.53958,1.3373,1,0,0
0,-461.333,-2.69121,1.52364,0.918311,0.300211,2.72457,1.50727,1.38922,1,0,0
0,-460.36,-3.65657,1.43496,1.00554,0.26447,2.50952,1.40072,1.36867,1,0,0
0,-461.087,-5.47362,1.47743,0.922978,0.295041,2.92172,1.3578,1.35966,1,0,0
0,-471.19,-4.50714,1.57479,1.00583,0.249015,2.54197,1.4727,1.30699,1,0,0
0,-462.217,-2.66339,1.47323,1.00204,0.313171,2.60956,1.35448,1.3175,1,0,0
0,-459.764,-1.28285,1.51803,1.02471,0.239912,2.63638,1.47495,1.34553,1,0,0
0,-466.366,-4.66853,1.45174,0.929107,0.330727,2.4528,1.48069,1.35762,1,0,0
0,-458.229,-2.08648,1.4537,0.934114,0.29017,2.71258,1.56878,1.36205,1,0,0
0,-461.995,-4.95482,1.50168,0.881248,0.246495,2.75712,1.60252,1.37297,1,0,0
0,-458.379,-1.82609,1.53155,1.0144,0.292833,2.79446,1.45008,1.35842,1,0,0
0,-464.647,-1.63967,1.4832,0.909012,0.290986,2.66402,1.47765,1.32746,1,0,0
0,-456.957,-1.66385,1.45305,1.01136,0.292125,2.68566,1.44517,1.38162,1,0,0
0,-461.203,-2.45768,1.47219,0.994457,0.214293,2.59019,1.46607,1.33321,1,0,0
0,-465.919,-2.83056,1.49672,0.922383,0.259789,2.77456,1.39419,1.31223,1,0,0
0,-462.78,-4.7874,1.47125,1.04628,0.306062,2.74862,1.55782,1.27228,1,0,0
0,-462.057,-3.77382,1.51076,0.952684,0.302652,2.55677,1.52378,1.41991,1,0,0
0,-462.449,-1.29182,1.48965,0.963576,0.331456,2.60098,1.51058,1.33397,1,0,0
0,-463.163,-5.42369,1.46204,0.935476,0.219109,2.84393,1.53808,1.29562,1,0,0
0,-457.882,-2.13936,1.47845,0.962811,0.346906,2.73472,1.48085,1.37249,1,0,0
0,-470.663,-9.36279,1.40299,0.841134,0.249888,2.65557,1.48042,1.33154,1,0,0
0,-460.855,-1.58359,1.48971,1.01159,0.270505,2.54736,1.39525,1.35088,1,0,0
0,-460.774,-1.92046,1.46915,0.946757,0.266087,2.7222,1.38993,1.37467,1,0,0
0,-459.131,-1.03021,1.51313,0.950065,0.274091,2.73729,1.51802,1.36882,1,0,0
0,-462.995,-1.28384,1.50911,0.981365,0.262527,2.60993,1.55617,1.3126,1,0,0
0,-458.437,-2.34967,1.49054,0.955413,0.293418,2.85493,1.41823,1.36047,1,0,0
0,-465.605,-3.35425,1.51346,0.894452,0.25875,2.62444,1.59458,1.34953,1,0,0
0,-459.602,-2.86407,1.52489,1.00874,0.266674,2.85476,1.55522,1.32269,1,0,0
0,-465.605,-5.20528,1.46248,1.01612,0.272353,2.60186,1.31358,1.28694,1,0,0
0,-460.806,-1.8099,1.49053,1.01233,0.237678,2.71282,1.38938,1.33493,1,0,0
0,-464.062,-2.28517,1.5014,1.00851,0.236479,2.64742,1.43447,1.29682,1,0,0
0,-464.319,-4.65682,1.50837,0.993662,0.269307,2.88953,1.43177,1.28123,1,0,0
0,-459.809,-0.949216,1.49503,0.950066,0.287114,2.76253,1.51828,1.32999,1,0,0
0,-461.375,-2.25812,1.54822,0.986938,0.233277,2.70708,1.49631,1.3607,1,0,0
0,-460.614,-2.6979,1.53395,0.945285,0.266865,2.85033,1.51906,1.34188,1,0,0
0,-461.635,-3.6688,1.55703,1.0022,0.260949,2.73867,1.3841,1.38598,1,0,0
0,-456.497,-0.858268,1.48062,1.01857,0.293895,2.70834,1.47101,1.37167,1,0,0
0,-466.551,-3.45382,1.57221,0.935949,0.25467,2.65739,1.50687,1.36787,1,0,0
0,-462.116,-2.01841,1.45141,0.967001,0.30867,2.64174,1.44536,1.3055,1,0,0
0,-459.579,-2.70488,1.44077,0.937519,0.257484,2.79202,1.46455,1.36217,1,0,0
0,-457.821,-0.82375,1.49535,1.00335,0.303249,2.76262,1.50264,1.33629,1,0,0
0,-465.403,-3.55775,1.51426,1.00426,0.270998,2.72173,1.55723,1.27256,1,0,0
0,-460.098,-5.2472,1.48746,1.00288,0.368545,2.72248,1.31159,1.34051,1,0,0
0,-459.226,-2.56965,1.46369,0.9905,0.274717,2.64721,1.63969,1.31793,1,0,0
0,-460.739,-6.31438,1.43248,1.01971,0.319315,2.43714,1.46647,1.39681,1,0,0
0,-462.644,-2.92838,1.53918,0.948149,0.28395,2.64554,1.44888,1.40576,1,0,0
0,-461.019,-2.72774,1.49944,0.983645,0.364638,2.63372,1.40522,1.35668,1,0,0
0,-456.896,-3.95878,1.49727,1.02131,0.247004,2.75854,1.66448,1.3757,1,0,0
0,-460.787,-3.38498,1.51466,0.976122,0.235637,2.59379,1.48641,1.41476,1,0,0
0,-461.902,-4.19518,1.43736,0.909767,0.259329,2.68428,1.5961,1.31592,1,0,0
0,-468.309,-3.64988,1.53505,0.95025,0.253771,2.61945,1.32358,1.35136,1,0,0
0,-457.513,-6.02978,1.48922,1.05164,0.198688,2.64542,1.63261,1.36468,1,0,0
0,-462.031,-3.43767,1.48717,0.91165,0.248295,2.86154,1.47035,1.3344,1,0,0
0,-459.711,-6.18929,1.4532,1.05668,0.276352,2.62083,1.46244,1.44298,1,0,0
0,-460.692,-2.62508,1.47221,0.96221,0.362117,2.67163,1.55187,1.34343,1,0,0
0,-462.765,-2.17763,1.47073,0.976898,0.316899,2.59195,1.37403,1.32706,1,0,0
0,-458.841,-5.11224,1.44867,1.02071,0.277075,2.6294,1.55051,1.43469,1,0,0
0,-458.426,-0.512082,1.47194,0.966593,0.26757,2.7301,1.47016,1.35108,1,0,0
0,-456.937,-2.67735,1.47862,1.0247,0.300487,2.80721,1.5777,1.37561,1,0,0
0,-468.14,-3.49326,1.54811,1.00876,0.253617,2.60727,1.37224,1.30848,1,0,0
0,-459.336,-3.62501,1.44598,0.950824,0.295732,2.69357,1.65351,1.32673,1,0,0
0,-457.442,-3.67983,1.48475,1.08784,0.249472,2.62791,1.47973,1.39094,1,0,0
0,-465.794,-3.24498,1.55373,1.02491,0.288455,2.58055,1.38193,1.32944,1,0,0
0,-457.751,-2.90941,1.48375,1.03701,0.266985,2.82301,1.51875,1.39107,1,0,0
0,-467.008,-3.7271,1.44825,0.923534,0.275687,2.48996,1.41027,1.34568,1,0,0
0,-458.178,-4.36369,1.47743,0.991567,0.35926,2.88142,1.53962,1.33304,1,0,0
0,-460.105,-1.60401,1.52537,1.04896,0.265739,2.61181,1.46485,1.33874,1,0,0
0,-461.909,-2.09925,1.50516,0.955048,0.295475,2.81466,1.46841,1.30737,1,0,0
0,-463.109,-6.07247,1.48145,0.891283,0.386882,2.76558,1.42786,1.35547,1,0,0
0,-465.169,-5.60519,1.47367,0.981892,0.204374,2.78602,1.49279,1.28008,1,0,0
0,-457.325,-5.18966,1.5064,0.979545,0.318857,2.8989,1.59891,1.39561,1,0,0
0,-459.686,-1.77737,1.45029,0.994172,0.270258,2.54898,1.53247,1.33003,1,0,0
0,-463.118,-4.89136,1.47942,1.00654,0.330405,2.56381,1.2954,1.33793,1,0,0
0,-460.781,-2.8694,1.54611,1.02076,0.281946,2.83172,1.49145,1.32596,1,0,0
0,-457.523,-1.4216,1.50222,0.999857,0.323205,2.74768,1.53834,1.36132,1,0,0
0,-461.464,-2.43246,1.48357,0.955814,0.221546,2.57013,1.51037,1.37014,1,0,0
0,-459.786,-2.04485,1.4867,0.994604,0.323049,2.7764,1.5218,1.30848,1,0,0
0,-460.549,-2.37943,1.49182,0.955068,0.348295,2.69488,1.3989,1.35937,1,0,0
0,-458.715,-3.90883,1.47454,0.949291,0.362466,2.74295,1.41024,1.38606,1,0,0
0,-465.273,-1.52376,1.51817,0.918841,0.299229,2.67009,1.45363,1.34079,1,0,0
0,-458.074,-3.80832,1.46796,1.07639,0.265409,2.61414,1.37176,1.37528,1,0,0
0,-463.429,-4.23757,1.51616,1.0734,0.276367,2.74132,1.45718,1.28291,1,0,0
0,-458.498,-2.7741,1.47235,1.02021,0.334875,2.57848,1.53263,1.38571,1,0,0
0,-459.434,-5.14203,1.41654,0.989868,0.346598,2.65142,1.3649,1.35094,1,0,0
0,-462.883,-3.07068,1.53726,0.973259,0.286224,2.82765,1.38086,1.32888,1,0,0
0,-459.285,-2.39778,1.48652,1.00656,0.258903,2.55804,1.62628,1.33892,1,0,0
0,-467.472,-4.25667,1.45179,0.894486,0.238246,2.55096,1.44802,1.36256,1,0,0
0,-463.208,-3.66064,1.51407,1.06047,0.336134,2.65746,1.48825,1.29688,1,0,0
0,-458.59,-3.22891,1.47498,0.971889,0.290488,2.72876,1.43467,1.4216,1,0,0
0,-469.187,-2.547,1.51464,0.9331,0.303984,2.49763,1.48734,1.33113,1,0,0
0,-469.743,-3.15435,1.51614,0.971656,0.29275,2.64918,1.41427,1.27619,1,0,0
0,-459.812,-2.32784,1.46737,0.942617,0.247734,2.82424,1.45375,1.35829,1,0,0
0,-456.666,-1.93067,1.49151,1.04865,0.267959,2.71848,1.55825,1.37394,1,0,0
0,-458.047,-1.09827,1.48716,1.03153,0.251407,2.6125,1.45421,1.35871,1,0,0
0,-458.126,-2.56776,1.43486,1.03334,0.307492,2.64446,1.50092,1.3224,1,0,0
0,-464.857,-3.80341,1.47644,0.957162,0.359885,2.64622,1.58853,1.30548,1,0,0
0,-459.901,-5.34939,1.43041,1.06552,0.251991,2.68973,1.61788,1.31093,1,0,0
0,-460.9,-2.85206,1.46736,0.924312,0.307721,2.76986,1.38481,1.35786,1,0,0
0,-461.928,-2.55495,1.51511,1.03564,0.303213,2.74887,1.47526,1.29619,1,0,0
0,-464.066,-2.33693,1.55179,0.945103,0.293422,2.66204,1.56326,1.35604,1,0,0
0,-459.295,-1.56022,1.47392,0.993149,0.322813,2.56784,1.51546,1.36652,1,0,0
0,-457.094,-1.03609,1.45991,1.02182,0.289791,2.6626,1.53271,1.34215,1,0,0
0,-459.57,-3.52863,1.51593,0.924056,0.259542,2.85803,1.57587,1.34677,1,0,0
0,-459.799,-3.0545,1.45781,1.05128,0.301437,2.70656,1.46114,1.29574,1,0,0
0,-459.807,-2.40616,1.54386,1.056,0.288715,2.64965,1.44637,1.35764,1,0,0
0,-461.794,-2.01048,1.50073,0.972956,0.340484,2.57378,1.53525,1.36483,1,0,0
0,-465.827,-3.72356,1.51334,0.960427,0.271153,2.79298,1.33503,1.3086,1,0,0
0,-464.307,-7.20811,1.39333,0.964091,0.244227,2.60044,1.41961,1.40858,1,0,0
0,-467.863,-3.16796,1.48638,0.907274,0.267406,2.63825,1.55136,1.29496,1,0,0
0,-461.568,-1.42531,1.5023,1.00998,0.26998,2.69662,1.38804,1.31825,1,0,0
0,-461.661,-0.949648,1.487,0.942535,0.286671,2.71459,1.41782,1.3385,1,0,0
