# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# start_datetime = 2022-06-21 12:14:55 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/Rtmp4KhtgB/standata-8db446b11312.json
# init = C:/Users/alescia/AppData/Local/Temp/Rtmp4KhtgB/init-1-8db42b183948.json
# random
#   seed = 838267205
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/fit_gen_exp2_2-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_single_v8_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,alpha,k,tau,delta
# Stepsize adaptation complete.
# eta = 1
0,-5189.94,-0.808744,1.29815,0.867124,0.976647,5.38873,0.849062,1.4734,1,0,0
0,-5199.23,-4.71777,1.29839,0.899136,0.957818,5.45306,0.840175,1.44633,1,0,0
0,-5192.53,-3.00492,1.28371,0.850204,0.939409,5.50719,0.854175,1.44607,1,0,0
0,-5197.17,-2.27493,1.27214,0.868017,0.977146,5.36764,0.851869,1.47616,1,0,0
0,-5191.75,-5.9123,1.30423,0.861054,1.04373,5.38346,0.83898,1.46353,1,0,0
0,-5192.95,-1.90466,1.28388,0.871665,0.978364,5.41068,0.842627,1.45238,1,0,0
0,-5192.88,-3.35524,1.2944,0.864408,0.921555,5.34621,0.840815,1.46462,1,0,0
0,-5188.45,-2.56444,1.30166,0.858122,1.01944,5.43145,0.8542,1.47381,1,0,0
0,-5191.46,-5.53487,1.28532,0.855787,1.05334,5.63282,0.856081,1.46789,1,0,0
0,-5187.76,-2.4693,1.31217,0.867676,0.990902,5.43929,0.850558,1.4515,1,0,0
0,-5191.89,-2.66784,1.28967,0.878257,0.978679,5.27063,0.843513,1.46931,1,0,0
0,-5187.82,-1.16798,1.30421,0.867068,0.986203,5.38574,0.851899,1.46726,1,0,0
0,-5191.19,-0.461126,1.28873,0.882431,0.97249,5.41386,0.851815,1.45834,1,0,0
0,-5195.41,-1.67595,1.2794,0.86512,0.952918,5.46782,0.856919,1.471,1,0,0
0,-5202.87,-2.61569,1.28554,0.88406,0.999804,5.58079,0.843155,1.47028,1,0,0
0,-5191.36,-0.400621,1.29812,0.874764,0.968205,5.5028,0.849165,1.45941,1,0,0
0,-5192.97,-4.32204,1.31413,0.874644,0.943967,5.38701,0.845977,1.4858,1,0,0
0,-5189.23,-1.07044,1.29713,0.861015,0.98208,5.37108,0.849911,1.47259,1,0,0
0,-5214.76,-4.45475,1.27591,0.908091,0.948014,5.50578,0.847643,1.47809,1,0,0
0,-5188.58,-1.53322,1.30191,0.853177,0.962549,5.38726,0.849036,1.46788,1,0,0
0,-5201.56,-7.62113,1.30249,0.882073,0.875492,5.41954,0.859689,1.48488,1,0,0
0,-5193.36,-1.93822,1.29645,0.868301,0.92464,5.52975,0.854994,1.4534,1,0,0
0,-5189.08,-0.600596,1.29217,0.870499,0.96788,5.40489,0.850292,1.45189,1,0,0
0,-5196.99,-2.07519,1.29904,0.899264,0.948819,5.45861,0.847247,1.46087,1,0,0
0,-5194.97,-4.06476,1.27141,0.869295,1.0215,5.27941,0.849327,1.46705,1,0,0
0,-5191.57,-1.43181,1.29895,0.878958,0.939728,5.47361,0.856613,1.46165,1,0,0
0,-5193.83,-0.801509,1.28516,0.863898,0.962466,5.4699,0.845246,1.46171,1,0,0
0,-5191.64,-2.602,1.29792,0.88477,0.988221,5.34122,0.842252,1.45928,1,0,0
0,-5192.02,-5.61712,1.29628,0.851778,1.06928,5.47102,0.84527,1.47171,1,0,0
0,-5204.89,-3.74884,1.27823,0.860385,0.919721,5.47235,0.842424,1.4783,1,0,0
0,-5202.45,-1.72147,1.28004,0.887651,0.96601,5.47228,0.848174,1.47869,1,0,0
0,-5190.79,-0.291094,1.29238,0.880395,0.967426,5.40272,0.850435,1.46122,1,0,0
0,-5190.51,-2.6699,1.30106,0.877508,0.953827,5.3474,0.841986,1.45452,1,0,0
0,-5190.06,-2.03651,1.2865,0.871751,0.996091,5.3291,0.845292,1.45255,1,0,0
0,-5192.47,-5.70252,1.28333,0.842854,1.05393,5.54207,0.852859,1.47367,1,0,0
0,-5191.65,-4.19148,1.29726,0.892531,1.0204,5.54186,0.859757,1.469,1,0,0
0,-5190.39,-3.97642,1.30734,0.89938,0.957174,5.29826,0.85399,1.46888,1,0,0
0,-5194.75,-3.98258,1.28884,0.88063,0.97483,5.2545,0.842744,1.48031,1,0,0
0,-5187.88,-4.03659,1.30999,0.860261,0.985252,5.31466,0.852542,1.44435,1,0,0
0,-5201.03,-3.28032,1.29697,0.883029,0.910376,5.56907,0.848088,1.44782,1,0,0
0,-5200.91,-2.88654,1.28341,0.882453,0.901441,5.48863,0.854871,1.45768,1,0,0
0,-5202.51,-3.76023,1.28921,0.897985,0.967484,5.53905,0.842782,1.44637,1,0,0
0,-5204.3,-3.42287,1.29492,0.884786,0.988395,5.60786,0.844082,1.48261,1,0,0
0,-5196.14,-2.45924,1.28526,0.898621,0.94254,5.36311,0.854038,1.46768,1,0,0
0,-5200.52,-3.81179,1.27648,0.867401,0.993024,5.64311,0.85593,1.47788,1,0,0
0,-5199.96,-3.08368,1.27399,0.876969,0.921087,5.33174,0.850599,1.47462,1,0,0
0,-5206.55,-3.7417,1.30011,0.899062,0.918067,5.54424,0.848464,1.47675,1,0,0
0,-5199.52,-2.01425,1.29468,0.88321,0.947527,5.4987,0.85045,1.48544,1,0,0
0,-5191.82,-4.40897,1.30353,0.88957,0.987799,5.25427,0.848808,1.48288,1,0,0
0,-5195.87,-5.16273,1.28177,0.886025,0.91086,5.38209,0.861809,1.45338,1,0,0
0,-5199.92,-1.80456,1.27513,0.886467,0.989782,5.52396,0.851363,1.46668,1,0,0
0,-5195.76,-1.26285,1.28106,0.869818,0.932017,5.39459,0.852241,1.4704,1,0,0
0,-5191.68,-1.4951,1.28864,0.86439,0.968392,5.35628,0.843603,1.46721,1,0,0
0,-5202.6,-5.9745,1.30408,0.914638,1.01656,5.57194,0.848778,1.47096,1,0,0
0,-5197.25,-2.84846,1.28204,0.857825,0.961973,5.37035,0.846702,1.48583,1,0,0
0,-5197.44,-7.05596,1.29116,0.85632,1.06369,5.66335,0.845871,1.47973,1,0,0
0,-5195.98,-1.32063,1.28611,0.882329,1.00872,5.50469,0.847007,1.46651,1,0,0
0,-5190.17,-5.83728,1.32383,0.873102,0.981746,5.50819,0.85641,1.48119,1,0,0
0,-5189.58,-4.00812,1.28315,0.872106,1.01422,5.34598,0.852062,1.43743,1,0,0
0,-5188.36,-4.04417,1.31281,0.860481,0.986412,5.38948,0.84596,1.44435,1,0,0
0,-5188.96,-1.76546,1.29732,0.859586,0.960277,5.32942,0.854896,1.47054,1,0,0
0,-5189.32,-3.21006,1.30306,0.880626,1.01792,5.36961,0.856614,1.47536,1,0,0
0,-5206.92,-3.92379,1.27252,0.877749,0.990578,5.46801,0.84297,1.48422,1,0,0
0,-5187.35,-2.16703,1.30489,0.868704,0.972434,5.30893,0.855051,1.46232,1,0,0
0,-5197.02,-1.31662,1.27695,0.872193,0.940467,5.48451,0.850466,1.45513,1,0,0
0,-5189.51,-3.45539,1.30068,0.873934,0.978665,5.4399,0.850352,1.43369,1,0,0
0,-5195.2,-2.65629,1.27921,0.866085,1.00084,5.63542,0.853286,1.45938,1,0,0
0,-5190.83,-1.69162,1.29244,0.890776,0.955603,5.32037,0.852574,1.46166,1,0,0
0,-5194.77,-3.69922,1.27705,0.884253,1.01252,5.56585,0.854116,1.44585,1,0,0
0,-5194.03,-3.27558,1.29157,0.907748,0.991617,5.38499,0.854202,1.46337,1,0,0
0,-5194.05,-1.16497,1.29585,0.882256,0.9555,5.55827,0.854541,1.46145,1,0,0
0,-5207.29,-6.33423,1.29144,0.891853,1.00365,5.70371,0.853384,1.49061,1,0,0
0,-5196.34,-7.27534,1.2849,0.869198,1.04373,5.28535,0.858665,1.49055,1,0,0
0,-5199.65,-1.92697,1.27169,0.884234,0.952504,5.4263,0.85258,1.46643,1,0,0
0,-5192.42,-1.20265,1.29919,0.865561,0.931438,5.42982,0.847233,1.46935,1,0,0
0,-5197.27,-4.67699,1.27697,0.868189,1.02704,5.40802,0.856714,1.48663,1,0,0
0,-5192.39,-1.59648,1.30189,0.871757,0.999574,5.53936,0.846004,1.46803,1,0,0
0,-5189.76,-2.81982,1.30676,0.866648,0.986625,5.53165,0.856873,1.47757,1,0,0
0,-5196.2,-2.08856,1.2864,0.890009,0.920987,5.40826,0.850844,1.45351,1,0,0
0,-5210.59,-5.1536,1.269,0.874518,0.991647,5.66215,0.851955,1.48358,1,0,0
0,-5193.29,-2.86375,1.30828,0.886666,1.00944,5.56486,0.849548,1.46884,1,0,0
0,-5201.01,-10.8863,1.28545,0.828176,0.952271,5.22301,0.848823,1.49903,1,0,0
0,-5187.34,-2.04255,1.30677,0.859566,0.97485,5.40949,0.8561,1.46227,1,0,0
0,-5191.85,-0.990393,1.29166,0.874657,0.935675,5.4166,0.855418,1.46335,1,0,0
0,-5202.91,-3.5962,1.29034,0.889475,1.0012,5.66216,0.844875,1.45717,1,0,0
0,-5195.73,-2.2083,1.29154,0.858351,0.905239,5.48648,0.851041,1.45956,1,0,0
0,-5198.5,-1.13696,1.29076,0.873772,0.946271,5.56077,0.851421,1.47582,1,0,0
0,-5198.44,-7.13112,1.28626,0.898901,1.03567,5.38171,0.840275,1.44186,1,0,0
0,-5206.23,-2.56778,1.28272,0.892178,0.94332,5.47472,0.843657,1.47514,1,0,0
0,-5190.28,-4.65915,1.30387,0.861497,0.940058,5.37629,0.8397,1.44638,1,0,0
0,-5189.31,-2.10272,1.29628,0.849422,0.950824,5.42397,0.846126,1.45321,1,0,0
0,-5192.96,-5.77983,1.32192,0.882,0.949996,5.38137,0.844479,1.48191,1,0,0
