"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"179","gamma[20]",3.733064345,3.660125,0.733879918367278,0.713093535,2.676527,5.061211,1.00009064143208,1978.33145773817,1890.86142883097
"180","gamma[21]",4.933670865,4.889225,0.778191170148731,0.765362598,3.7395955,6.2745755,0.999775715321436,2127.0215204424,1962.73343888589
"181","gamma[22]",2.58381842,2.51503,0.623709239809076,0.590467689,1.699405,3.7513705,1.00027864935223,2073.12828509947,1962.73343888589
"182","gamma[23]",3.71526503,3.63446,0.842460978050359,0.787816575,2.4915545,5.250144,1.00031425771556,1869.15671593432,1924.08986244533
"183","gamma[24]",5.430444875,5.34747,0.965726342344835,0.925972656,3.9999055,7.14182,1.0000993351217,1825.59113656527,1785.43874931012
"184","gamma[25]",5.2185041,5.14476,0.942092672636141,0.863592261,3.823501,6.812425,1.00067272549284,2093.83200497576,2013.10786524428
"185","gamma[26]",3.12471988,3.06375,0.654783601608924,0.649957014,2.163466,4.2920035,1.00036193088728,1954.98032755898,1846.7224319762
"186","gamma[27]",1.8018454575,1.75629,0.40824248599991,0.386676906,1.230124,2.5383035,0.999704745697739,2268.61972413749,2079.63527898388
"187","gamma[28]",4.65455017,4.57614,0.833786006258673,0.768846708,3.414092,6.138646,0.999525160740431,1828.19772529584,1854.50388224802
"188","gamma[29]",4.936127695,4.80616,1.06154710066624,1.051200465,3.4261405,6.9232245,1.0010318328095,1858.40547547183,1811.68572368428
"189","gamma[30]",3.846249675,3.791235,0.693112536253096,0.668823099,2.7955595,5.042243,0.999598710981154,1918.59038769495,1884.92419140963
"190","gamma[31]",3.059076405,2.979965,0.655958366965406,0.626813628,2.119323,4.203146,0.999706276330442,2004.67071078829,2002.87030852694
"191","gamma[32]",4.114598515,4.071215,0.649361147847954,0.643492877999999,3.147536,5.236124,1.0011693623608,2020.04443554222,2047.06098959464
"192","gamma[33]",2.59408172,2.528695,0.626302422848319,0.619600779,1.6909375,3.6939745,0.999529950591144,1786.74861436948,1854.17305982525
"193","gamma[34]",4.45003478,4.380825,0.708012373421546,0.693026543999999,3.3730095,5.6996425,0.999955706752634,2065.34803773626,1899.84598021673
"194","gamma[35]",3.970710215,3.902275,0.667114556713383,0.637940541,2.9976485,5.178511,1.0000368297235,1977.01664204556,1933.78128614825
"195","gamma[36]",4.248980265,4.186845,0.753832112368264,0.766348527,3.1347215,5.6071985,1.0001743263283,1977.71876157511,1917.12049629863
"196","gamma[37]",5.408247465,5.339845,0.913955272278401,0.903244398,4.0500565,7.014275,0.999580011600903,1902.31748078605,2047.32872199687
"197","gamma[38]",3.402979475,3.341315,0.598968116129602,0.576723987,2.5080455,4.4970245,1.00114190518218,1795.92229195413,1885.4201235178
"198","gamma[39]",4.4356965,4.363955,0.860850033317872,0.828232251,3.1550035,5.960757,1.00043377866014,1829.13272547406,1847.97665367457
"199","gamma[40]",1.39553998,1.35509,0.36120310855848,0.341946864,0.8829242,2.0325605,0.999949961554309,2089.54600817917,1823.14871615118
