"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw","Chain"
"70",-1023.01,-1.55472,1.82739,0.982029,0.396224,2.79493,0.597032,0.982076,1.48338,1,0,1,70,1,1
"71",-1029,-5.00325,1.81694,1.03548,0.35094,2.56534,0.654892,0.883432,1.4935,1,0,1,71,1,1
"72",-1028.08,-5.71939,1.84846,0.99506,0.425139,2.74456,0.665342,0.890565,1.53207,1,0,1,72,1,1
"73",-1025.96,-1.70328,1.87734,0.997012,0.364317,2.70289,0.589161,0.945542,1.45805,1,0,1,73,1,1
"74",-1022.83,-1.13794,1.82053,0.991366,0.307714,2.67821,0.609128,0.970518,1.46875,1,0,1,74,1,1
"75",-1025.63,-3.02693,1.78106,0.976741,0.391853,2.69794,0.674945,0.921887,1.47242,1,0,1,75,1,1
"76",-1029.76,-4.39198,1.85079,0.985009,0.312505,2.75275,0.688934,0.906335,1.44009,1,0,1,76,1,1
"77",-1023.95,-1.2646,1.85789,0.996511,0.317249,2.67228,0.598987,0.962903,1.48454,1,0,1,77,1,1
"78",-1034.49,-4.61578,1.84155,0.988771,0.343993,2.55112,0.657337,0.874804,1.48887,1,0,1,78,1,1
"79",-1028.94,-3.45815,1.83779,1.00082,0.301504,2.59221,0.624265,0.88938,1.46228,1,0,1,79,1,1
"80",-1024.28,-2.20505,1.81462,1.00488,0.345923,2.76449,0.682765,0.9294,1.46336,1,0,1,80,1,1
"81",-1031.75,-4.18568,1.87278,0.991487,0.430685,2.66018,0.602634,0.87104,1.48193,1,0,1,81,1,1
"82",-1028.27,-4.23529,1.89387,0.951178,0.378549,2.78562,0.603318,0.940933,1.49929,1,0,1,82,1,1
"83",-1029.22,-2.48627,1.84479,0.961494,0.354914,2.60923,0.580495,0.989453,1.4681,1,0,1,83,1,1
"84",-1026.95,-1.94915,1.8499,1.00793,0.364791,2.68412,0.653365,0.935832,1.44108,1,0,1,84,1,1
"85",-1024.66,-2.01655,1.81201,0.969289,0.367087,2.69761,0.601258,1.01351,1.46111,1,0,1,85,1,1
"86",-1025.03,-3.33878,1.84957,1.0165,0.407092,2.74878,0.625457,0.875725,1.4973,1,0,1,86,1,1
"87",-1025.09,-4.18318,1.84617,1.03233,0.336613,2.75356,0.588788,0.892139,1.435,1,0,1,87,1,1
"88",-1030.77,-5.96969,1.82056,1.03509,0.382414,2.52547,0.651938,0.957138,1.43539,1,0,1,88,1,1
"89",-1026.36,-3.17062,1.89033,1.01378,0.348172,2.68791,0.574959,0.955821,1.45679,1,0,1,89,1,1
"90",-1027.88,-1.99585,1.86526,0.981997,0.386526,2.7134,0.615687,0.968124,1.44189,1,0,1,90,1,1
"91",-1021.92,-1.12086,1.83252,1.00417,0.349528,2.79867,0.632838,0.966088,1.4649,1,0,1,91,1,1
"92",-1027.26,-6.47049,1.81474,0.937716,0.430662,2.81559,0.691676,0.930575,1.50251,1,0,1,92,1,1
"93",-1033.13,-5.3234,1.83672,1.00943,0.433447,2.57542,0.619832,0.882798,1.43939,1,0,1,93,1,1
"94",-1025.4,-4.35727,1.82973,1.02285,0.496083,2.75918,0.616876,0.944875,1.46226,1,0,1,94,1,1
"95",-1026.97,-5.11146,1.80813,0.933519,0.380522,2.80641,0.576325,0.895155,1.4577,1,0,1,95,1,1
"96",-1024.16,-2.10739,1.84559,1.01959,0.345298,2.67342,0.634401,1.00932,1.49063,1,0,1,96,1,1
"97",-1061.84,-7.33435,1.74349,1.03,0.296156,2.72452,0.646924,0.921795,1.4535,1,0,1,97,1,1
"98",-1024.17,-3.89832,1.87311,0.997009,0.288787,2.76555,0.572267,0.916962,1.47153,1,0,1,98,1,1
"99",-1034.26,-5.37738,1.89259,0.999806,0.318244,2.67804,0.661824,0.989698,1.43314,1,0,1,99,1,1
"100",-1024.86,-1.60605,1.81909,1.01108,0.375431,2.63579,0.640158,0.921885,1.49876,1,0,1,100,1,1
"101",-1022.66,-1.8798,1.82892,1.01731,0.32728,2.64293,0.577485,0.928874,1.46082,1,0,1,101,1,1
"102",-1026.08,-3.63475,1.84091,1.03116,0.394523,2.56037,0.603805,0.970749,1.49664,1,0,1,102,1,1
"103",-1041.03,-8.33907,1.86824,0.982849,0.47396,2.64277,0.61469,1.00349,1.41072,1,0,1,103,1,1
"104",-1024.78,-3.5528,1.81491,0.987394,0.347637,2.62176,0.540528,0.960808,1.45378,1,0,1,104,1,1
"105",-1029.53,-4.71773,1.82103,0.9347,0.384126,2.7472,0.631559,0.948244,1.42567,1,0,1,105,1,1
"106",-1023.06,-3.96793,1.77795,0.966306,0.310492,2.75735,0.596201,0.960437,1.44368,1,0,1,106,1,1
"107",-1036.43,-5.14346,1.90923,0.964893,0.385393,2.70439,0.628199,0.979512,1.44121,1,0,1,107,1,1
"108",-1025.98,-3.0834,1.79867,0.990041,0.34741,2.72968,0.635775,0.908133,1.52193,1,0,1,108,1,1
"109",-1032.75,-5.93946,1.87315,1.02156,0.38424,2.66194,0.728047,0.948113,1.49974,1,0,1,109,1,1
"110",-1027.09,-1.37548,1.84203,0.965716,0.350117,2.68377,0.610066,0.906366,1.45768,1,0,1,110,1,1
"111",-1023.65,-0.899217,1.8165,1.00054,0.354656,2.69726,0.636263,0.904785,1.48015,1,0,1,111,1,1
"112",-1024.47,-4.71343,1.84249,1.0141,0.413821,2.76313,0.677875,0.984807,1.52196,1,0,1,112,1,1
"113",-1023.17,-2.01224,1.83602,1.01797,0.359902,2.70763,0.574034,0.974225,1.50404,1,0,1,113,1,1
"114",-1028.24,-1.08297,1.82971,0.970142,0.378967,2.61641,0.618834,0.934183,1.47395,1,0,1,114,1,1
