"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw"
"136",-5207.17,-3.3282,1.34534,0.857751,1.05438,5.3926,0.859446,1.41894,1,0,0,1,136,136
"137",-5194.48,-2.92722,1.34093,0.864966,0.94537,5.35093,0.860517,1.45115,1,0,0,1,137,137
"138",-5192.58,-1.16112,1.33084,0.875973,1.00149,5.4103,0.858803,1.43846,1,0,0,1,138,138
"139",-5194.19,-2.9442,1.33836,0.852308,1.05035,5.62557,0.861235,1.44079,1,0,0,1,139,139
"140",-5197.72,-2.68017,1.3533,0.856859,0.970784,5.33166,0.853823,1.45402,1,0,0,1,140,140
"141",-5196.8,-0.577029,1.33886,0.854615,1.03947,5.32793,0.855355,1.44236,1,0,0,1,141,141
"142",-5205.35,-7.67727,1.35543,0.861582,0.962149,5.74473,0.85587,1.42978,1,0,0,1,142,142
"143",-5198.68,-3.82477,1.33608,0.888405,1.07018,5.28985,0.859823,1.44269,1,0,0,1,143,143
"144",-5203.19,-4.96922,1.31705,0.822882,1.05623,5.2192,0.858885,1.42638,1,0,0,1,144,144
"145",-5190.73,-0.820982,1.33063,0.853451,1.02449,5.5189,0.858876,1.4472,1,0,0,1,145,145
"146",-5193.53,-0.396475,1.33879,0.855213,0.994176,5.41139,0.858135,1.44708,1,0,0,1,146,146
"147",-5191.55,-4.46168,1.33226,0.834698,1.06387,5.51283,0.852049,1.47523,1,0,0,1,147,147
"148",-5197.13,-1.85389,1.34487,0.866634,1.05726,5.4046,0.857695,1.44908,1,0,0,1,148,148
"149",-5189.42,-2.30466,1.32582,0.882785,0.9962,5.45146,0.855111,1.45891,1,0,0,1,149,149
"150",-5193.55,-1.3367,1.32814,0.86379,0.984332,5.37276,0.853127,1.42924,1,0,0,1,150,150
"151",-5190.55,-2.7947,1.3267,0.878687,1.03166,5.57522,0.860627,1.44585,1,0,0,1,151,151
"152",-5195.86,-2.218,1.33186,0.84148,1.04673,5.5035,0.849481,1.42908,1,0,0,1,152,152
"153",-5189.62,-1.58579,1.33045,0.864152,0.986524,5.29663,0.851638,1.46205,1,0,0,1,153,153
"154",-5193.47,-2.81691,1.3359,0.894729,1.00971,5.38696,0.852849,1.45147,1,0,0,1,154,154
"155",-5195.53,-3.13614,1.33679,0.885848,0.986438,5.55469,0.851726,1.44045,1,0,0,1,155,155
"156",-5195.54,-3.34003,1.33563,0.880075,1.07281,5.38192,0.849319,1.45417,1,0,0,1,156,156
"157",-5198.16,-1.3864,1.34631,0.840618,0.9885,5.40106,0.851536,1.43978,1,0,0,1,157,157
"158",-5190.84,-1.3975,1.33491,0.861454,1.02734,5.40683,0.850895,1.46429,1,0,0,1,158,158
"159",-5196.62,-5.23586,1.32947,0.811073,1.00698,5.54361,0.866502,1.45906,1,0,0,1,159,159
"160",-5213.23,-4.64582,1.34851,0.859813,1.04669,5.30695,0.86383,1.41561,1,0,0,1,160,160
"161",-5192.64,-2.14924,1.33725,0.867866,0.958638,5.4023,0.849534,1.4464,1,0,0,1,161,161
"162",-5189.63,-7.30225,1.31857,0.854955,0.927401,5.28441,0.847998,1.47526,1,0,0,1,162,162
"163",-5191.9,-1.52735,1.32114,0.842653,0.996179,5.33667,0.849614,1.43413,1,0,0,1,163,163
"164",-5190.11,-4.28976,1.31126,0.854987,0.948947,5.26855,0.859666,1.44508,1,0,0,1,164,164
"165",-5198.7,-3.83472,1.34372,0.82108,0.998272,5.53516,0.864718,1.45427,1,0,0,1,165,165
"166",-5203.78,-2.8778,1.34452,0.831897,0.979876,5.20423,0.852923,1.43508,1,0,0,1,166,166
"167",-5193.39,-0.933858,1.33454,0.854921,1.04912,5.47025,0.85774,1.44421,1,0,0,1,167,167
"168",-5193.56,-2.5512,1.32946,0.845977,1.05425,5.4067,0.843143,1.44478,1,0,0,1,168,168
"169",-5198.62,-3.53009,1.34952,0.878358,1.01138,5.20783,0.848977,1.45109,1,0,0,1,169,169
"170",-5190.09,-1.57579,1.31774,0.840109,0.984885,5.37445,0.858424,1.44869,1,0,0,1,170,170
"171",-5199.19,-3.68341,1.33571,0.817146,0.956738,5.28453,0.852649,1.44498,1,0,0,1,171,171
"172",-5193.33,-5.37706,1.31474,0.84951,1.10918,5.41876,0.851582,1.44506,1,0,0,1,172,172
"173",-5190.9,-3.20992,1.33562,0.857569,1.04176,5.55779,0.864697,1.46447,1,0,0,1,173,173
"174",-5190.33,-2.61568,1.31678,0.834875,0.969705,5.30293,0.853742,1.45197,1,0,0,1,174,174
"175",-5191.94,-3.1227,1.33119,0.838057,0.981647,5.65715,0.858652,1.44866,1,0,0,1,175,175
"176",-5191.23,-2.54798,1.33674,0.854997,0.998618,5.52621,0.864412,1.46465,1,0,0,1,176,176
"177",-5198.73,-1.92398,1.33665,0.821329,0.996103,5.34482,0.851932,1.43793,1,0,0,1,177,177
"178",-5189.37,-1.45723,1.32525,0.848995,1.01619,5.5342,0.849378,1.4503,1,0,0,1,178,178
"179",-5191.73,-1.12575,1.32946,0.842278,0.968262,5.35197,0.855139,1.44975,1,0,0,1,179,179
"180",-5196.2,-1.48279,1.34407,0.866897,1.00962,5.51319,0.854812,1.43828,1,0,0,1,180,180
"181",-5199.68,-2.17434,1.33813,0.831155,1.0415,5.27405,0.86138,1.45675,1,0,0,1,181,181
"182",-5191.11,-2.41699,1.33052,0.869652,0.982748,5.39227,0.843924,1.45174,1,0,0,1,182,182
"183",-5202.72,-2.42048,1.34254,0.86575,1.05673,5.35376,0.861134,1.43004,1,0,0,1,183,183
"184",-5202.25,-6.84002,1.33177,0.816214,0.974552,5.29427,0.840888,1.41943,1,0,0,1,184,184
"185",-5188.07,-2.17434,1.31563,0.852686,1.00118,5.47604,0.862196,1.45357,1,0,0,1,185,185
"186",-5191.26,-3.10349,1.33637,0.836965,1.00044,5.523,0.856694,1.47405,1,0,0,1,186,186
"187",-5203.59,-2.87487,1.35647,0.858147,1.02744,5.34664,0.849019,1.43896,1,0,0,1,187,187
"188",-5193.59,-2.00509,1.33706,0.881781,1.00764,5.26699,0.851072,1.44977,1,0,0,1,188,188
"189",-5191.93,-4.17982,1.33226,0.85574,0.930339,5.24637,0.849279,1.44925,1,0,0,1,189,189
"190",-5190.58,-0.38269,1.33113,0.851719,0.99476,5.40321,0.851414,1.44936,1,0,0,1,190,190
"191",-5193.2,-3.55766,1.32207,0.847375,1.00955,5.36345,0.870589,1.46201,1,0,0,1,191,191
"192",-5191.18,-1.45364,1.33093,0.877295,1.0371,5.41252,0.855296,1.45395,1,0,0,1,192,192
"193",-5192.27,-3.16683,1.33264,0.87177,0.986178,5.64988,0.859075,1.44687,1,0,0,1,193,193
"194",-5192.92,-1.94446,1.33918,0.880026,0.980658,5.31641,0.853972,1.45083,1,0,0,1,194,194
"195",-5211.89,-11.9293,1.31679,0.895183,1.01177,5.7782,0.838224,1.4325,1,0,0,1,195,195
"196",-5199.21,-2.04355,1.34974,0.839453,1.04024,5.34432,0.855117,1.4568,1,0,0,1,196,196
"197",-5189.62,-2.60508,1.31658,0.831885,1.03475,5.38238,0.85089,1.45884,1,0,0,1,197,197
"198",-5194.09,-2.48374,1.33593,0.855983,0.98918,5.22119,0.861384,1.46614,1,0,0,1,198,198
"199",-5199.6,-3.44792,1.34963,0.817905,1.0184,5.49106,0.852884,1.45097,1,0,0,1,199,199
"200",-5191.57,-2.17223,1.33187,0.83883,0.98819,5.50513,0.862679,1.46136,1,0,0,1,200,200
"201",-5191.73,-2.44894,1.32262,0.840905,1.04743,5.52567,0.849387,1.43557,1,0,0,1,201,201
"202",-5195.68,-0.959632,1.33068,0.857093,1.05199,5.32311,0.857331,1.43954,1,0,0,1,202,202
"203",-5195.81,-3.46482,1.33439,0.85279,1.03567,5.32514,0.838623,1.44185,1,0,0,1,203,203
"204",-5192.73,-3.72805,1.32408,0.840143,1.04286,5.40997,0.867388,1.4682,1,0,0,1,204,204
"205",-5201.66,-3.32865,1.3345,0.843668,1.03595,5.33007,0.845134,1.41905,1,0,0,1,205,205
"206",-5196.73,-1.77244,1.3341,0.828566,1.01169,5.29845,0.847768,1.43951,1,0,0,1,206,206
"207",-5210.22,-5.44484,1.34804,0.829921,1.03772,5.47337,0.849896,1.41136,1,0,0,1,207,207
"208",-5194.18,-0.0934,1.33502,0.850235,1.02197,5.35096,0.855319,1.4442,1,0,0,1,208,208
"209",-5204.06,-5.65852,1.35473,0.878217,1.03264,5.64237,0.851786,1.43193,1,0,0,1,209,209
"210",-5190.17,-2.31292,1.3228,0.857906,1.03907,5.58837,0.858688,1.43856,1,0,0,1,210,210
"211",-5194.96,-3.7611,1.32466,0.865926,0.965449,5.38179,0.847569,1.4205,1,0,0,1,211,211
"212",-5189.21,-3.65882,1.31097,0.870824,0.997324,5.21875,0.859616,1.45273,1,0,0,1,212,212
"213",-5192,-0.843165,1.32791,0.833129,1.02683,5.41919,0.854704,1.44906,1,0,0,1,213,213
"214",-5197.52,-3.70381,1.3419,0.863809,1.04744,5.64136,0.849394,1.43621,1,0,0,1,214,214
"215",-5190.09,-1.88416,1.32609,0.856449,0.980125,5.23419,0.848973,1.45186,1,0,0,1,215,215
"216",-5193.9,-1.2003,1.34204,0.857058,1.04192,5.41594,0.856477,1.45791,1,0,0,1,216,216
"217",-5197.96,-3.58852,1.35005,0.834187,1.0589,5.5447,0.852481,1.45172,1,0,0,1,217,217
"218",-5191,-3.16967,1.33098,0.877492,0.965512,5.5196,0.854576,1.46112,1,0,0,1,218,218
"219",-5192.44,-1.37787,1.32795,0.86071,0.976061,5.44824,0.85353,1.43262,1,0,0,1,219,219
"220",-5198.91,-2.23207,1.32619,0.844029,1.03603,5.33985,0.866413,1.43234,1,0,0,1,220,220
"221",-5191.56,-1.69648,1.33489,0.864564,0.958636,5.39666,0.852382,1.44878,1,0,0,1,221,221
"222",-5191.52,-0.969581,1.33226,0.876917,1.01283,5.41786,0.856266,1.44692,1,0,0,1,222,222
"223",-5193.46,-1.34914,1.32587,0.834987,1.01361,5.37069,0.862979,1.4523,1,0,0,1,223,223
"224",-5193.69,-2.48025,1.33714,0.859046,1.04985,5.60952,0.858354,1.44067,1,0,0,1,224,224
"225",-5198.45,-4.23901,1.33363,0.893181,1.02293,5.16808,0.853444,1.43419,1,0,0,1,225,225
"226",-5201.24,-2.35986,1.33864,0.849872,0.966458,5.31544,0.85917,1.42496,1,0,0,1,226,226
"227",-5192.83,-4.22223,1.33085,0.883832,0.988909,5.61613,0.864412,1.443,1,0,0,1,227,227
"228",-5198.79,-4.11598,1.32805,0.845017,1.07433,5.13265,0.852377,1.45581,1,0,0,1,228,228
"229",-5189.1,-3.58413,1.32598,0.877393,1.02547,5.5156,0.859846,1.47091,1,0,0,1,229,229
"230",-5195.68,-0.290781,1.33539,0.846036,1.0227,5.36204,0.85905,1.44219,1,0,0,1,230,230
"231",-5196.16,-0.965873,1.33749,0.850549,1.03956,5.46651,0.858753,1.43627,1,0,0,1,231,231
"232",-5201.89,-13.5151,1.30966,0.842724,0.9985,5.72126,0.830529,1.4262,1,0,0,1,232,232
"233",-5188.91,-2.30457,1.31289,0.858597,1.0233,5.27845,0.855611,1.45555,1,0,0,1,233,233
"234",-5201.52,-4.28401,1.35134,0.865674,1.08305,5.30893,0.855444,1.45884,1,0,0,1,234,234
"235",-5194.79,-1.63668,1.34291,0.855188,1.00516,5.35201,0.862571,1.4619,1,0,0,1,235,235
"236",-5193,-1.28823,1.33808,0.843501,0.974906,5.44471,0.858581,1.45493,1,0,0,1,236,236
"237",-5200,-4.596,1.34698,0.886795,1.03515,5.5211,0.844873,1.44784,1,0,0,1,237,237
"238",-5200.5,-3.96622,1.33676,0.839324,1.00799,5.36532,0.873832,1.45393,1,0,0,1,238,238
"239",-5192.54,-4.4703,1.32189,0.84334,1.01072,5.55069,0.839247,1.43843,1,0,0,1,239,239
"240",-5196.65,-2.98892,1.34942,0.832804,0.999828,5.54112,0.849253,1.45159,1,0,0,1,240,240
"241",-5200.05,-1.46815,1.33666,0.840002,0.997191,5.2138,0.855065,1.43519,1,0,0,1,241,241
"242",-5190.39,-4.76491,1.32178,0.832396,1.00462,5.46961,0.855013,1.48279,1,0,0,1,242,242
"243",-5197.89,-2.88034,1.3495,0.851137,0.979836,5.498,0.864663,1.45006,1,0,0,1,243,243
