"id","menus","rep","rep2","t1","t2","c1","c2","d1","d2","drift1","drift2","drift3","speed","precision","treatment","f1","f2","f3","stay","alpha","bias_att","bias_sim","bias_comp","target_a","comp_a","dec_a","target_s","comp_s","dec_s","target_c","comp_c","dec_c"
17,1,1,17,1.5,1,1,1.5,1.5,0.85,2.94875856121834,3.67326875261144,1.10770782617022,3.651470458849,0.719024144856781,1,0.0826513177894528,0.243545758419002,-0.326197076208455,0.5749573245,1.750312845,0.29372632611256,0.123702321045293,0.285915392456556,0.377482010291817,0.554497657380674,0.0680203323275087,0.197682923476824,0.394576572038046,0.40774050448513,0.306785102391848,0.605769903651316,0.0874449939568363
18,1,1,18,1.5,1,1,1.5,1.5,0.85,2.99118681024778,3.00967335185762,1.8359395928946,3.41362647146396,0.640764157727623,1,0.132818302006151,0.139298164792518,-0.272116466798669,0.811454484,1.750312845,0.235682043827432,0.0227190976845863,0.0526704622106604,0.410441385233005,0.414891633410248,0.174666981356747,0.316743108141691,0.340729127246702,0.342527764611607,0.33214910492429,0.367444006930304,0.300406888145406
19,1,1,19,1.5,1,1,1.5,1.5,0.85,1.53051584151734,1.52783318488952,0.193370232093138,1.71052589190147,0.818457905815923,1,0.152425546799529,0.151509969601173,-0.303935516400702,1.521991885,1.750312845,0.263216276411096,0.0152703838814775,0.0998060308091589,0.494146603939787,0.492631602517594,0.0132217935426191,0.306218842140083,0.351230301031811,0.342550856828106,0.387297964387497,0.442897514747179,0.169804520865324
20,1,1,20,1.5,1,1,1.5,1.5,0.85,1.30149117264391,1.37764528742384,0.273159765932248,1.68281725623846,0.884087973804384,1,0.0925103833595983,0.114707025977726,-0.207217409337324,1.2286706055,1.750312845,0.179798397615866,0.0326576532486438,0.0564255822830585,0.460892553571152,0.509126543467006,0.0299809029618421,0.260859463783107,0.353497351446285,0.385643184770607,0.210116019287742,0.375592537101294,0.414291443610964
21,1,1,21,1.5,1,1,1.5,1.5,0.85,3.55739950038773,4.14299938968563,1.08505615492663,4.18102215593352,0.726109611095313,1,0.118637893966153,0.229104959341955,-0.347742853308108,0.8003489235,1.750312845,0.306177337752704,0.0861222720751909,0.26464131815976,0.411382273669977,0.537137137876965,0.0514805884530581,0.233012866614289,0.383038166417794,0.383948966967917,0.347174570748212,0.567523866081959,0.0853015631698289
22,1,1,22,1.5,1,1,1.5,1.5,0.85,2.89427814081302,2.77628711500054,1.63056774418644,3.29129077379735,0.673901706645693,1,0.138853123336681,0.103280845143235,-0.242133968479916,0.4764206295,1.750312845,0.210447121060951,0.0190537342672232,0.0637568347818871,0.435535248731482,0.404934567061255,0.159530184207264,0.31598203307506,0.343052338123654,0.340965628801286,0.348287835110615,0.373965349819395,0.277746815069989
23,1,1,23,1.5,1,1,1.5,1.5,0.85,3.00367813727618,3.11229974751744,1.74523419020638,3.50551534556521,0.663407080244357,1,0.114606818305659,0.147086906968727,-0.261693725274386,0.6451247585,1.750312845,0.22721453172251,0.0373010046040822,0.057532062453122,0.408035725525962,0.434212236373461,0.157752038100577,0.301850231352725,0.34566524852679,0.352484520120486,0.313049149218373,0.383132281623197,0.30381856915843
24,1,1,24,1.5,1,1,1.5,1.5,0.85,3.29537550264657,3.62310659372861,2.52269274362482,3.87519290237984,0.584059457794492,1,0.0731295396086087,0.234721183374532,-0.307850722983141,0.697399862,1.750312845,0.27858035746383,0.128721510923383,0.277127610140128,0.356255606098533,0.420564821896805,0.223179572004662,0.278710681823645,0.357828864483018,0.363460453693338,0.32789408162506,0.438768605982986,0.233337312391954
25,1,1,25,1.5,1,1,1.5,1.5,0.85,2.86604190229981,3.14319707760087,1.36248996009932,3.45794222239417,0.712273850106268,1,0.0985168653611989,0.165308771112039,-0.263825636473238,1.5420656855,1.750312845,0.23090748041984,0.0661959272054512,0.128109881117575,0.408587011717355,0.480234086329768,0.111178901952877,0.260525081771859,0.363957446988467,0.375517471239675,0.308588347914746,0.469675382778339,0.221736269306915
26,1,1,26,1.5,1,1,1.5,1.5,0.85,3.00246568272309,3.13972124765038,1.81190094462652,3.4746032398512,0.643511058852457,1,0.118843773990564,0.165302980136329,-0.284146754126892,0.667904982,1.750312845,0.247172304009895,0.0519631411920632,0.12614005356457,0.400881126577194,0.433505391440863,0.165613481981943,0.294916856102364,0.350912702583994,0.354170441313642,0.333559525219415,0.41426395492027,0.252176519860315
27,1,1,27,1.5,1,1,1.5,1.5,0.85,3.38592647748716,3.31177978231719,1.76052252519565,3.78684408100337,0.667271045520698,1,0.153614744334922,0.133509384770334,-0.287124129105257,0.8797725505,1.750312845,0.248859911409299,0.00509453984931636,0.0574779593796448,0.438539796694229,0.421869253872609,0.139590949433162,0.329318498425305,0.337078103854446,0.333603397720249,0.354883721694578,0.361355094152003,0.283761184153419
28,1,1,28,1.5,1,1,1.5,1.5,0.85,2.74247510394072,2.73875360496591,1.59001640609336,3.15889618694687,0.66513701928947,1,0.126702407069293,0.12547892249662,-0.252181329565912,2.003284493,1.750312845,0.218396294530948,0.0237267879188837,0.0436997075729959,0.419678685096145,0.418682393126729,0.161638921777126,0.312938801113248,0.341846194241433,0.345215004645319,0.325943441733746,0.369468436595725,0.304588121670529
29,1,1,29,1.5,1,1,1.5,1.5,0.85,3.74037661835412,3.96751861203933,2.01524462960654,4.42377636802147,0.682830007724408,1,0.107182054651064,0.155938479582407,-0.263120534233471,0.7537700885,1.750312845,0.229169389086985,0.0543795457858969,0.105796698510321,0.408587291004121,0.453001074942694,0.138411634053185,0.281889307398237,0.355079723948545,0.363030968653218,0.317093737450912,0.429238891546299,0.253667371002789
30,1,1,30,1.5,1,1,1.5,1.5,0.85,3.25155996168165,3.43022127362865,1.65812970968969,3.79686959721918,0.683447882408972,1,0.117592820395169,0.162142754252244,-0.279735574647413,0.4862963515,1.750312845,0.243280019615579,0.060640814046027,0.152070364243679,0.415659837345723,0.456455533486162,0.127884629168114,0.275738813191556,0.360876771899343,0.3633844149091,0.340265242538411,0.453328028121321,0.206406729340268
31,1,1,31,1.5,1,1,1.5,1.5,0.85,2.48236508788089,2.88198491801025,0.875420179108856,3.07093844210811,0.75792354540597,1,0.0921508839539655,0.183655619281808,-0.275806503235773,0.651103596,1.750312845,0.243197860942923,0.0756735246076488,0.143726319642761,0.406519892777806,0.52789514604657,0.0655849611756241,0.231579359422938,0.37528636921937,0.393134271357692,0.289438704862321,0.525462234019201,0.185099061118479
