"treatment","I","gamma","m","lam","beta","stay","alpha"
2,1.872154095,4.34107828,1.0760564365,0.160401103835,1.150792419,0.943660393,1.796280015
2,3.13779306,5.196178635,1.1371926085,0.3699620819,1.354604392,0.611539943,1.796280015
2,0.989597238,2.33773755,0.9553094015,0.38028560205,1.315275713,0.9395744785,1.796280015
2,0.5742427455,2.566674715,0.8201210505,0.2298184629,1.117924987,0.9067055855,1.796280015
2,0.648073969,2.819981885,0.939467777,0.179737297965,0.98326116,0.862016873,1.796280015
2,1.341146576,4.58879851,0.85700589,0.2364460889,1.1892274305,0.9031301835,1.796280015
2,4.893169275,4.37407463,0.9701146825,0.218399212255,1.0624209065,0.662721507,1.796280015
2,1.227835739,2.41858515,0.807520772,0.29453373825,1.073535827,0.748763902,1.796280015
2,2.029080145,4.744970825,0.949519659,0.2462619586,1.2040742805,0.9683142415,1.796280015
2,3.36688088,4.215584675,1.0586158255,0.238331956,1.2696240465,0.724868472,1.796280015
2,0.5699388795,3.733064345,0.8162596695,0.2944292866,1.094069951,0.8902961455,1.796280015
2,2.772830775,4.933670865,1.1126188635,0.19770428735,1.240249302,0.367464499,1.796280015
2,1.682438725,2.58381842,1.1022752205,0.3799835162,1.2081182635,1.399285866,1.796280015
2,3.89489487,3.71526503,1.1061874,0.2890475665,1.239228471,0.6029483155,1.796280015
2,3.66513717,5.430444875,0.981331469,0.16549815005,1.0982206265,0.885207564,1.796280015
2,2.838239395,5.2185041,1.03048794,0.2837576075,1.1470763085,0.7084655795,1.796280015
2,1.777491265,3.12471988,0.8921184385,0.3163836583,0.9922613955,0.6985839545,1.796280015
2,0.908120869,1.8018454575,0.9425244065,0.27520812775,1.164322521,0.885834052,1.796280015
2,1.98568333,4.65455017,1.010470976,0.2273196348,1.0916093615,0.9412191085,1.796280015
2,4.277956335,4.936127695,1.0029956505,0.20927208905,1.154848045,1.136891674,1.796280015
2,2.54471628,3.846249675,1.0515007805,0.130429712325,1.1087101785,0.622112106,1.796280015
2,0.792902104,3.059076405,1.12186995,0.2832426756,1.314072239,0.931496379,1.796280015
2,2.077187375,4.114598515,0.9991456355,0.41356922435,0.7484213855,0.8220932425,1.796280015
2,2.166270045,2.59408172,1.0207956465,0.2914543089,1.191183018,1.0872723535,1.796280015
2,2.61175409,4.45003478,0.9576084655,0.31097723085,0.9111648195,0.5585606615,1.796280015
2,2.09736411,3.970710215,0.8072519265,0.23761657955,0.947331451,0.6768753145,1.796280015
2,1.887237895,4.248980265,1.1404688905,0.157442845115,1.086535429,0.8210281295,1.796280015
2,3.19242023,5.408247465,1.075217062,0.134609910455,1.148086948,0.8439545225,1.796280015
2,2.087459885,3.402979475,1.026722555,0.37732823865,1.2322332385,1.0609830095,1.796280015
