"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"213","gamma[9]",4.778917615,4.670915,1.03164003781269,0.989909781,3.315804,6.680826,0.999517945074742,2036.03943902744,1895.32221227614
"214","gamma[10]",5.11979694,5.020285,0.893625648993249,0.839952203999999,3.802548,6.7395355,0.999958683529752,1977.4896332691,2027.86251688283
"215","gamma[11]",1.88685669,1.79069,0.632475441239653,0.573499332,1.044581,3.108937,0.99963936730464,2036.84976595879,1715.21809069635
"216","gamma[12]",4.30037859,4.19758,0.998357543466172,0.980628705000001,2.8519285,6.146456,1.00017023730557,1866.37637008948,1959.92797555622
"217","gamma[13]",5.267099145,5.172505,0.9932335782981,0.922407003,3.840309,6.9942995,1.00103615423677,1817.81792057233,1771.08125869356
"218","gamma[14]",3.685906505,3.52892,1.04004544873532,1.002341382,2.2491195,5.5875705,1.00150877891995,1795.66172103642,1711.658354202
"219","gamma[15]",5.63123556,5.55842,1.07681667139792,1.073980614,3.9887255,7.5330685,1.00009980937139,2067.50082865596,1709.65731410354
"220","gamma[16]",2.79188714,2.6891,0.766676034966606,0.71542863,1.71985,4.1879585,1.00000756122738,1854.55655480031,1708.43781640903
"221","gamma[17]",4.503015695,4.41771,0.818302605089318,0.797386758,3.27848,5.9583795,1.00000114814958,1975.02155332558,2002.87030852694
"222","gamma[18]",2.85292177,2.728865,0.792271156811306,0.71772666,1.78964,4.3025325,1.00250921938701,2053.20785695254,1695.76188221974
"223","gamma[19]",2.93001686,2.848,0.697294359606838,0.671299041,1.9398405,4.157607,1.00040382993116,1912.55501814369,1958.88903719233
"224","gamma[20]",3.430884395,3.31231,0.908371495997758,0.889256067,2.145796,5.033451,1.00164068303517,1929.75018649797,1916.93052353477
"225","gamma[21]",5.301126515,5.234395,0.953576527451708,0.903451962,3.8872815,6.909411,0.999662445987562,2074.70235882106,1997.76869523387
"226","gamma[22]",3.316937565,3.2318,0.832046957115248,0.817587183,2.121339,4.826345,1.00157488713234,2108.88855741797,1840.32291533052
"227","gamma[23]",3.34425227,3.23871,0.824931463355086,0.776608119,2.198304,4.854475,1.00079115476956,1813.1507189221,1877.71554606744
"228","gamma[24]",2.028143804,1.875535,0.838401839471022,0.733894413,0.95038605,3.574875,0.999902673177434,1826.88917949286,1962.73343888589
