"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"90",-921.516,-2.02373,1.51138,1.02491,0.110423,2.71709,1.17363,0.932803,1.31033,1,0,1,90,90
"91",-924.412,-2.53708,1.48771,0.959689,0.11455,2.6963,1.10773,0.964937,1.37443,1,0,1,91,91
"92",-921.4,-1.28393,1.49971,1.01842,0.0993771,2.69651,1.15405,0.946029,1.33508,1,0,1,92,92
"93",-932.206,-9.53103,1.43266,1.03313,0.0814736,2.5692,1.22843,0.815044,1.399,1,0,1,93,93
"94",-923.02,-2.33408,1.51791,0.971533,0.17919,2.68211,1.14219,0.939205,1.36228,1,0,1,94,94
"95",-928.872,-4.53254,1.51159,1.0122,0.159487,2.53663,1.25848,0.812268,1.32265,1,0,1,95,95
"96",-928.784,-3.81845,1.48853,0.956754,0.134568,2.53708,1.09316,0.974726,1.38076,1,0,1,96,96
"97",-923.408,-5.60401,1.51526,1.03379,0.167389,2.76763,1.00257,0.856543,1.36987,1,0,1,97,97
"98",-922.571,-5.45408,1.50274,0.930058,0.153819,2.82298,1.39758,0.882384,1.36508,1,0,1,98,98
"99",-924.886,-4.55716,1.54997,1.02166,0.101681,2.6809,1.00411,1.02426,1.34485,1,0,1,99,99
"100",-925.893,-4.10138,1.47324,0.974918,0.179533,2.59014,1.20341,0.85845,1.33837,1,0,1,100,100
"101",-931.72,-2.63573,1.56887,1.00366,0.120617,2.47241,1.2667,0.969694,1.35635,1,0,1,101,101
"102",-926.476,-3.48913,1.54917,1.05507,0.126438,2.8104,1.38662,0.945906,1.37613,1,0,1,102,102
"103",-923.938,-5.08006,1.53696,1.01928,0.0853456,2.64249,1.31203,0.789745,1.35289,1,0,1,103,103
"104",-925.586,-4.99733,1.54215,1.01847,0.0838611,2.53323,1.33603,0.814065,1.35678,1,0,1,104,104
"105",-923.041,-2.48769,1.50314,1.03476,0.141677,2.57923,1.234,0.905686,1.31323,1,0,1,105,105
"106",-922.08,-2.51197,1.55503,1.0478,0.121841,2.66544,1.16981,0.987644,1.38162,1,0,1,106,106
"107",-927.53,-5.03848,1.55725,0.955907,0.081932,2.63654,1.43875,0.930313,1.32883,1,0,1,107,107
"108",-927.453,-5.37286,1.59019,0.990483,0.119615,2.7873,1.04699,1.02542,1.33886,1,0,1,108,108
"109",-995.921,-3.9264,1.46724,1.01365,0.107299,2.88921,1.1933,0.968519,1.38381,1,0,1,109,109
"110",-927.527,-3.86282,1.49139,0.976508,0.0833173,2.8531,1.26863,0.985378,1.33269,1,0,1,110,110
"111",-922.968,-1.03672,1.53814,1.00528,0.151213,2.63788,1.20199,0.888033,1.34573,1,0,1,111,111
"112",-928.001,-6.37223,1.5598,1.07598,0.172809,2.73671,1.28767,0.952162,1.40534,1,0,1,112,112
"113",-932.435,-5.97896,1.55333,0.925148,0.114975,2.74684,1.05776,0.856784,1.35677,1,0,1,113,113
"114",-925.548,-5.91655,1.57083,1.04881,0.122924,2.7136,1.05664,0.861673,1.30857,1,0,1,114,114
"115",-924.345,-3.89152,1.45502,1.04152,0.13815,2.60408,1.37109,0.96425,1.33877,1,0,1,115,115
"116",-919.948,-1.90544,1.52613,0.982891,0.16734,2.79017,1.17757,0.934078,1.34206,1,0,1,116,116
"117",-923.9,-6.52721,1.50817,1.06261,0.0942251,2.54501,1.00835,0.853077,1.34061,1,0,1,117,117
"118",-928.347,-2.30186,1.53229,0.956106,0.111099,2.55709,1.37095,0.944333,1.35033,1,0,1,118,118
"119",-924.638,-2.80412,1.47972,1.00081,0.145746,2.5302,1.24847,0.859708,1.36994,1,0,1,119,119
"120",-926.225,-3.17124,1.52661,0.934164,0.114163,2.76204,1.12131,0.92795,1.35705,1,0,1,120,120
"121",-924.116,-1.40078,1.53478,0.9655,0.0946906,2.64816,1.2352,0.911107,1.35482,1,0,1,121,121
"122",-934.223,-7.34224,1.48448,0.934158,0.115402,2.45295,1.45565,0.986318,1.38441,1,0,1,122,122
"123",-921.052,-1.67313,1.52484,0.990751,0.0894143,2.76105,1.30353,0.896088,1.35734,1,0,1,123,123
"124",-920.291,-0.693972,1.48957,0.983037,0.12193,2.68152,1.2661,0.926338,1.3622,1,0,1,124,124
"125",-929.462,-11.7607,1.47383,0.934129,0.127994,2.35705,1.39577,0.957715,1.28499,1,0,1,125,125
"126",-929.636,-2.2832,1.52015,0.978995,0.170462,2.56815,1.28974,0.916605,1.33074,1,0,1,126,126
"127",-927.674,-2.2923,1.55655,1.02603,0.128622,2.51423,1.15326,0.955152,1.33619,1,0,1,127,127
"128",-931.471,-7.98143,1.56621,0.962586,0.0982455,2.70225,0.942687,1.02124,1.37838,1,0,1,128,128
"129",-920.902,-0.998445,1.503,1.02682,0.123538,2.69304,1.25025,0.962348,1.37873,1,0,1,129,129
"130",-922.022,-1.25831,1.51825,1.00303,0.129079,2.65089,1.21903,1.03414,1.35205,1,0,1,130,130
"131",-927.916,-3.26914,1.48219,0.977464,0.11676,2.45794,1.28986,0.887559,1.36964,1,0,1,131,131
"132",-921.716,-1.21496,1.53234,1.01082,0.120706,2.82707,1.18955,0.924716,1.36961,1,0,1,132,132
"133",-940.92,-8.59168,1.47585,1.05855,0.221464,2.54025,1.40617,0.863574,1.33027,1,0,1,133,133
"134",-922.966,-1.41777,1.51696,1.00111,0.161765,2.68581,1.32935,0.940376,1.33504,1,0,1,134,134
"135",-926.644,-4.87382,1.47394,1.04033,0.16448,2.45208,1.19761,0.965911,1.33069,1,0,1,135,135
"136",-924.206,-1.60701,1.5089,1.03678,0.128386,2.79842,1.2123,0.943615,1.3767,1,0,1,136,136
"137",-939.88,-4.27543,1.47082,0.995088,0.136088,2.933,1.29912,0.94716,1.38278,1,0,1,137,137
"138",-920.76,-2.67577,1.52458,1.00184,0.165709,2.83749,1.29191,0.902604,1.32744,1,0,1,138,138
"139",-924.193,-3.16228,1.58175,0.992258,0.113317,2.78571,1.14963,1.01346,1.35351,1,0,1,139,139
"140",-928.473,-2.14227,1.56654,0.97865,0.100567,2.60675,1.21639,0.931062,1.32721,1,0,1,140,140
"141",-926.537,-4.8521,1.58323,0.990784,0.115651,2.73972,1.39253,1.06532,1.36357,1,0,1,141,141
"142",-922.493,-1.56824,1.51348,1.02146,0.140276,2.70387,1.39056,0.969842,1.36396,1,0,1,142,142
"143",-926.814,-2.60979,1.51091,0.964925,0.153172,2.63097,1.20228,0.944587,1.31217,1,0,1,143,143
"144",-921.622,-3.53233,1.57344,1.02687,0.156493,2.75849,1.16228,0.921478,1.3902,1,0,1,144,144
"145",-930.105,-7.8455,1.51582,0.996165,0.0654468,2.44909,1.09949,0.860091,1.32517,1,0,1,145,145
"146",-924.376,-4.14298,1.52561,0.999929,0.0723553,2.80812,1.30261,0.878725,1.3354,1,0,1,146,146
"147",-920.556,-0.726601,1.5237,1.00686,0.11266,2.74208,1.23244,0.946561,1.37871,1,0,1,147,147
"148",-922.993,-1.31054,1.49261,0.991606,0.133523,2.5779,1.15058,0.906512,1.34137,1,0,1,148,148
"149",-925.044,-1.85854,1.52448,0.978192,0.139246,2.5845,1.1612,0.951622,1.38876,1,0,1,149,149
"150",-922.131,-2.49132,1.52656,1.04381,0.0938898,2.54642,1.26691,0.878095,1.352,1,0,1,150,150
"151",-928.773,-2.78634,1.52531,0.988639,0.115632,2.52446,1.19075,0.847053,1.32388,1,0,1,151,151
"152",-922.52,-1.53824,1.53915,1.03881,0.136298,2.64837,1.25378,0.93678,1.32456,1,0,1,152,152
"153",-923.996,-1.88409,1.50274,0.96572,0.166694,2.64713,1.20141,0.946236,1.3429,1,0,1,153,153
"154",-933.741,-4.48266,1.60012,0.969138,0.108615,2.61071,1.26048,0.850648,1.34227,1,0,1,154,154
"155",-925.545,-1.46689,1.52506,0.954805,0.126972,2.63003,1.19425,0.974651,1.36284,1,0,1,155,155
"156",-924.169,-5.00553,1.51907,1.00254,0.0667138,2.55688,1.27963,0.961499,1.31909,1,0,1,156,156
"157",-923.205,-2.37383,1.53979,0.988184,0.11016,2.73495,1.12648,1.02946,1.37314,1,0,1,157,157
"158",-925.455,-2.63775,1.5459,0.994197,0.144509,2.66842,1.21215,1.06427,1.345,1,0,1,158,158
"159",-922.238,-2.52193,1.5444,1.04346,0.169297,2.72734,1.25906,0.887889,1.35482,1,0,1,159,159
"160",-919.915,-2.69876,1.51396,1.01458,0.17324,2.74953,1.12706,0.87255,1.34313,1,0,1,160,160
"161",-929.341,-4.65209,1.50984,1.02388,0.0761252,2.74892,1.17184,0.869731,1.39579,1,0,1,161,161
"162",-920.741,-0.659974,1.50171,0.998223,0.127548,2.65563,1.1391,0.95558,1.35754,1,0,1,162,162
"163",-926.626,-2.4726,1.51384,0.98599,0.178217,2.67101,1.36751,0.952722,1.33668,1,0,1,163,163
"164",-923.976,-4.31365,1.51527,1.01825,0.0760196,2.62401,1.19627,0.833503,1.37607,1,0,1,164,164
"165",-937.127,-5.10208,1.43232,1.02248,0.103389,2.75429,1.36275,0.910695,1.3694,1,0,1,165,165
"166",-932.137,-4.83259,1.47093,1.02441,0.0884253,2.79126,1.29895,0.842603,1.32551,1,0,1,166,166
"167",-923.819,-4.40746,1.53035,1.06922,0.0976607,2.62529,1.14325,0.838927,1.3678,1,0,1,167,167
"168",-927.499,-4.89444,1.56328,1.05648,0.176449,2.58864,1.25505,0.95993,1.39412,1,0,1,168,168
"169",-923.498,-6.71513,1.53428,0.941441,0.154293,2.85194,1.40461,0.915537,1.40828,1,0,1,169,169
"170",-935.945,-7.20402,1.47653,1.03028,0.0873188,2.77875,1.46225,0.850599,1.40204,1,0,1,170,170
"171",-920.567,-1.79201,1.52242,1.01418,0.161201,2.74315,1.20848,1.01144,1.35191,1,0,1,171,171
"172",-927.079,-5.48319,1.51274,0.974068,0.103449,2.60308,1.31426,0.805228,1.40413,1,0,1,172,172
"173",-925.517,-6.29292,1.58155,0.943018,0.0868207,2.78139,1.38098,0.926799,1.38662,1,0,1,173,173
"174",-929.478,-5.50651,1.49717,0.960847,0.0798509,2.51177,1.26478,0.839231,1.32959,1,0,1,174,174
"175",-920.675,-1.99113,1.55461,1.00112,0.142567,2.81578,1.12731,0.926304,1.35784,1,0,1,175,175
"176",-920.682,-0.9029,1.51076,1.00533,0.109078,2.71562,1.26574,0.892274,1.3762,1,0,1,176,176
"177",-921.496,-1.02253,1.5145,0.966718,0.122472,2.72418,1.23095,0.94355,1.33322,1,0,1,177,177
"178",-928.531,-4.81503,1.58249,1.01704,0.0922446,2.50752,1.12022,0.929587,1.3879,1,0,1,178,178
"179",-923.041,-4.29289,1.57452,1.01766,0.103598,2.77016,1.44793,0.956921,1.38536,1,0,1,179,179
"180",-924.37,-3.50424,1.54737,1.02969,0.130165,2.72022,1.32671,0.904684,1.29921,1,0,1,180,180
"181",-928.746,-4.88538,1.45544,0.993823,0.136371,2.4443,1.37575,0.957895,1.343,1,0,1,181,181
"182",-929.861,-3.34696,1.50788,0.990657,0.10047,2.41147,1.18304,0.969008,1.34758,1,0,1,182,182
"183",-923.013,-4.97462,1.51537,1.02727,0.0953888,2.62856,1.58611,0.908908,1.35284,1,0,1,183,183
"184",-927.953,-4.68587,1.51102,0.980944,0.114254,2.81221,0.970043,0.919967,1.36141,1,0,1,184,184
"185",-923.412,-3.43736,1.52657,1.01148,0.114373,2.66136,1.28218,0.845804,1.40768,1,0,1,185,185
"186",-925.654,-5.28066,1.53551,1.04312,0.0862023,2.52607,1.33707,1.06913,1.35934,1,0,1,186,186
"187",-930.182,-5.01079,1.48233,1.00355,0.0707179,2.79058,1.35162,0.886848,1.36973,1,0,1,187,187
"188",-926.125,-4.51301,1.53941,1.00885,0.18249,2.63873,1.13757,0.816026,1.34186,1,0,1,188,188
"189",-921.596,-1.18044,1.5271,0.979652,0.124016,2.73207,1.14143,0.977024,1.36945,1,0,1,189,189
"190",-921.121,-2.1089,1.51349,0.999965,0.0825635,2.65348,1.30003,0.926998,1.32888,1,0,1,190,190
"191",-931.702,-2.95991,1.5618,0.987588,0.0982276,2.47779,1.19744,0.980375,1.34833,1,0,1,191,191
"192",-928.755,-5.44642,1.55548,1.07213,0.140841,2.82441,1.26142,0.919332,1.4034,1,0,1,192,192
"193",-923.648,-1.93265,1.49453,0.96882,0.11682,2.6572,1.11176,0.986713,1.3432,1,0,1,193,193
"194",-925.518,-5.28028,1.6084,0.999812,0.10559,2.88461,1.1852,0.987182,1.34917,1,0,1,194,194
"195",-928.474,-2.8178,1.54317,0.975672,0.0933829,2.50687,1.23669,0.904747,1.38009,1,0,1,195,195
"196",-922.986,-3.09687,1.52245,1.01488,0.0922977,2.5961,1.27979,0.855863,1.39271,1,0,1,196,196
"197",-926.888,-3.42309,1.56795,1.01202,0.171961,2.72152,1.29704,1.02393,1.34478,1,0,1,197,197
"198",-928.453,-4.52034,1.53914,0.961818,0.08683,2.66176,1.24197,0.92001,1.29657,1,0,1,198,198
"199",-921.575,-2.6763,1.47545,0.977526,0.15964,2.68702,1.21193,0.987598,1.33053,1,0,1,199,199
"200",-925.143,-4.20762,1.5642,1.0613,0.11772,2.70998,1.27992,0.935103,1.30568,1,0,1,200,200
"201",-929.53,-3.61732,1.5547,1.04891,0.162994,2.61544,1.33954,1.00272,1.33594,1,0,1,201,201
"202",-925.687,-2.37023,1.54944,1.01088,0.113492,2.61253,1.35215,1.02261,1.33171,1,0,1,202,202
"203",-922.969,-2.50811,1.46336,0.964913,0.115731,2.6699,1.16209,0.928184,1.3391,1,0,1,203,203
"204",-926.172,-4.5956,1.57238,1.06799,0.137078,2.62958,1.16372,0.980477,1.31824,1,0,1,204,204
"205",-923.742,-4.1367,1.51675,0.968863,0.168486,2.7559,1.04063,0.881299,1.36436,1,0,1,205,205
"206",-935.015,-8.043,1.49468,1.08045,0.191538,2.85212,1.13103,1.04242,1.36827,1,0,1,206,206
"207",-930.231,-5.92977,1.54725,1.05571,0.0722369,2.80953,1.17883,0.922224,1.31814,1,0,1,207,207
"208",-925.608,-4.49945,1.57949,1.01044,0.142551,2.73055,1.12102,0.824686,1.33635,1,0,1,208,208
"209",-925.79,-5.46263,1.47621,0.944369,0.127569,2.85644,1.23816,0.836334,1.3757,1,0,1,209,209
"210",-1100.02,-7.56779,1.53747,1.0447,0.127998,3.06757,1.41739,0.988718,1.33836,1,0,1,210,210
"211",-922.976,-4.52443,1.49365,0.962402,0.147382,2.87339,1.1279,0.924886,1.3135,1,0,1,211,211
"212",-924.344,-4.7834,1.56658,0.979402,0.147607,2.86269,1.05537,0.935419,1.32692,1,0,1,212,212
"213",-923.054,-3.74616,1.52461,1.0143,0.0765054,2.7323,1.26486,0.976297,1.31368,1,0,1,213,213
"214",-927.633,-3.12969,1.54851,0.970836,0.137183,2.63996,1.06078,1.01185,1.35676,1,0,1,214,214
"215",-921.289,-0.95127,1.50646,0.986786,0.117208,2.72767,1.14785,0.889242,1.35257,1,0,1,215,215
"216",-924.613,-4.25218,1.45008,0.986142,0.127381,2.7655,1.30618,1.04046,1.34772,1,0,1,216,216
"217",-925.448,-3.24215,1.49125,0.96579,0.161151,2.62501,1.34861,0.946623,1.38911,1,0,1,217,217
"218",-920.584,-1.71978,1.529,0.993103,0.138068,2.77012,1.23108,0.858489,1.37349,1,0,1,218,218
"219",-924.267,-3.10086,1.50496,1.0006,0.120942,2.73382,1.02159,0.956923,1.38101,1,0,1,219,219
"220",-922.79,-2.22713,1.49011,1.0166,0.128055,2.76915,1.08711,0.925001,1.33261,1,0,1,220,220
"221",-921.844,-1.43981,1.5074,1.01023,0.094095,2.76832,1.27541,0.954191,1.33533,1,0,1,221,221
"222",-930.369,-4.47698,1.57155,0.975777,0.100343,2.63311,1.1362,1.07321,1.34796,1,0,1,222,222
"223",-927.856,-4.90868,1.59957,1.0352,0.16167,2.70397,1.30962,0.984332,1.38064,1,0,1,223,223
"224",-925.735,-5.68032,1.58185,1.00464,0.16261,2.80723,1.25323,1.07645,1.37469,1,0,1,224,224
"225",-922.95,-2.40605,1.48844,1.01673,0.144573,2.52892,1.11062,0.912638,1.36303,1,0,1,225,225
"226",-922.426,-3.04485,1.53343,0.949001,0.156346,2.79439,1.32232,0.973305,1.35214,1,0,1,226,226
"227",-921.493,-1.31745,1.50228,0.981783,0.139401,2.67163,1.31362,0.87293,1.35364,1,0,1,227,227
"228",-921.641,-2.88105,1.54981,1.00491,0.0996189,2.73312,1.45954,0.948688,1.33703,1,0,1,228,228
"229",-924.564,-1.53734,1.57033,0.99569,0.0993146,2.6325,1.20857,0.948939,1.35708,1,0,1,229,229
"230",-924.655,-6.55566,1.48223,0.958547,0.144113,2.90243,1.18811,0.957083,1.2931,1,0,1,230,230
"231",-930.398,-3.70824,1.52409,1.00656,0.110169,2.41613,1.40024,0.908218,1.34943,1,0,1,231,231
"232",-924.948,-4.86177,1.52532,1.00532,0.159099,2.67337,1.2108,1.08563,1.39939,1,0,1,232,232
"233",-934.661,-2.56853,1.55632,0.972232,0.133564,2.50986,1.27448,0.939701,1.32711,1,0,1,233,233
