"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"98",-9446.49,-2.20918,1.3162,0.908889,0.835522,4.78845,0.881585,1.09363,1.43516,1,0,1,98,98
"99",-9444.81,-6.30368,1.33832,0.933089,0.838339,4.65254,0.883759,1.0803,1.46846,1,0,1,99,99
"100",-9457.02,-5.29296,1.31557,0.876675,0.854942,4.54452,0.878034,1.06723,1.44054,1,0,1,100,100
"101",-9449,-4.5394,1.33695,0.920794,0.835102,4.80104,0.880245,1.06608,1.44338,1,0,1,101,101
"102",-9434.83,-1.61094,1.30655,0.916731,0.857961,4.63463,0.878596,1.06071,1.46517,1,0,1,102,102
"103",-9448.26,-1.65427,1.32636,0.910302,0.835804,4.58521,0.881613,1.08449,1.4497,1,0,1,103,103
"104",-9445.36,-3.78643,1.32798,0.890901,0.852293,4.71432,0.883686,1.07592,1.46555,1,0,1,104,104
"105",-9440.67,-1.06283,1.31502,0.904372,0.864863,4.69546,0.879583,1.09809,1.45797,1,0,1,105,105
"106",-9449.4,-3.4913,1.32025,0.892464,0.865117,4.6025,0.883243,1.02972,1.45171,1,0,1,106,106
"107",-9440.64,-1.63963,1.30502,0.916106,0.833106,4.61519,0.885454,1.09447,1.45437,1,0,1,107,107
"108",-9456.13,-2.71652,1.33087,0.910187,0.852167,4.5801,0.881699,1.08844,1.43994,1,0,1,108,108
"109",-9439.63,-2.56632,1.31291,0.93115,0.821981,4.7142,0.879153,1.0517,1.4451,1,0,1,109,109
"110",-9441.01,-2.52601,1.3178,0.911795,0.88572,4.6925,0.879902,1.09492,1.4605,1,0,1,110,110
"111",-9444.01,-3.54257,1.31019,0.92193,0.885629,4.69149,0.8747,1.10953,1.44435,1,0,1,111,111
"112",-9445.2,-4.62334,1.31361,0.910715,0.869011,4.46838,0.879757,1.03653,1.46001,1,0,1,112,112
"113",-9446,-3.19696,1.31184,0.881738,0.852801,4.61412,0.879449,1.08273,1.45926,1,0,1,113,113
"114",-9454.57,-9.079,1.29682,0.890968,0.873669,4.57658,0.879313,1.02403,1.41987,1,0,1,114,114
"115",-9436.88,-1.6055,1.30656,0.898448,0.851694,4.71502,0.877263,1.08315,1.46233,1,0,1,115,115
"116",-9436.43,-3.94194,1.30766,0.928342,0.830891,4.75091,0.871736,1.06982,1.45961,1,0,1,116,116
"117",-9455,-7.13597,1.31448,0.877311,0.839494,4.59654,0.871643,1.07595,1.43219,1,0,1,117,117
"118",-9454.63,-7.07405,1.3147,0.915793,0.81089,4.52156,0.883669,1.03077,1.4265,1,0,1,118,118
"119",-9438.06,-2.23934,1.31246,0.922015,0.818997,4.75859,0.876516,1.0738,1.45298,1,0,1,119,119
"120",-9448.17,-2.3724,1.30842,0.896279,0.869117,4.58658,0.879919,1.11336,1.44901,1,0,1,120,120
"121",-9464.09,-6.38312,1.34229,0.904043,0.850274,4.56835,0.887141,1.10032,1.44959,1,0,1,121,121
"122",-9444.04,-3.26127,1.29866,0.920298,0.842839,4.7305,0.881974,1.13122,1.43917,1,0,1,122,122
"123",-9443.2,-1.66044,1.30443,0.90408,0.855342,4.7129,0.883478,1.06802,1.43644,1,0,1,123,123
"124",-9444.75,-3.0376,1.31789,0.914863,0.827403,4.48592,0.879838,1.07476,1.45385,1,0,1,124,124
"125",-9439.16,-1.82401,1.30325,0.927795,0.845102,4.68174,0.880687,1.0583,1.43943,1,0,1,125,125
"126",-9446.1,-3.25696,1.31066,0.899438,0.844281,4.48449,0.882419,1.06149,1.45845,1,0,1,126,126
"127",-9451.1,-3.52051,1.31913,0.902148,0.850335,4.48224,0.876783,1.10487,1.45048,1,0,1,127,127
"128",-9440.38,-2.82612,1.30407,0.900233,0.83458,4.66177,0.886606,1.08905,1.46505,1,0,1,128,128
"129",-9444.3,-2.83251,1.30536,0.895199,0.84783,4.61722,0.88546,1.03376,1.44944,1,0,1,129,129
"130",-9452.69,-3.76977,1.30866,0.894222,0.870415,4.57705,0.886132,1.1181,1.44935,1,0,1,130,130
"131",-9447.98,-5.16153,1.31609,0.902785,0.826291,4.64416,0.869609,1.12196,1.44042,1,0,1,131,131
"132",-9455.24,-6.30302,1.31379,0.902115,0.800492,4.69294,0.880665,1.12901,1.4289,1,0,1,132,132
"133",-9443.26,-1.73755,1.30435,0.915589,0.861749,4.54657,0.879521,1.08249,1.44455,1,0,1,133,133
"134",-9442.33,-2.45434,1.30859,0.911749,0.821244,4.78862,0.878912,1.0811,1.43761,1,0,1,134,134
"135",-9452.6,-8.04214,1.29449,0.906648,0.808555,4.6049,0.889449,1.10302,1.42854,1,0,1,135,135
"136",-9438.37,-2.25512,1.30795,0.933526,0.840829,4.67416,0.881982,1.10427,1.45817,1,0,1,136,136
"137",-9440.69,-3.25582,1.31579,0.907948,0.803794,4.69088,0.882475,1.08473,1.46148,1,0,1,137,137
"138",-9445.94,-3.748,1.32331,0.903868,0.826583,4.72556,0.882777,1.01709,1.44436,1,0,1,138,138
"139",-9450.6,-2.135,1.32322,0.911521,0.841005,4.68219,0.884562,1.11914,1.44332,1,0,1,139,139
"140",-9437.54,-0.592798,1.30224,0.912123,0.845133,4.67145,0.879326,1.09183,1.4528,1,0,1,140,140
"141",-9445.68,-1.60457,1.32036,0.915951,0.847514,4.69132,0.875938,1.08023,1.43708,1,0,1,141,141
"142",-9437.58,-3.99067,1.32458,0.925921,0.824022,4.62868,0.877607,1.06168,1.4693,1,0,1,142,142
"143",-9443.31,-9.40311,1.28705,0.890438,0.873115,4.80239,0.888833,1.12417,1.46153,1,0,1,143,143
"144",-9445.43,-4.83187,1.29422,0.904895,0.829951,4.61047,0.885206,1.14134,1.45467,1,0,1,144,144
"145",-9442.4,-1.45458,1.31673,0.928815,0.83506,4.63034,0.882355,1.08561,1.44819,1,0,1,145,145
"146",-9442.89,-2.14325,1.31361,0.922266,0.860542,4.62988,0.887706,1.06786,1.45169,1,0,1,146,146
"147",-9440.84,-7.02656,1.30045,0.922517,0.851838,4.75491,0.892058,1.01605,1.44641,1,0,1,147,147
"148",-9443.47,-3.80948,1.30179,0.899189,0.885383,4.72273,0.882995,1.11954,1.45142,1,0,1,148,148
"149",-9442.99,-5.17562,1.3209,0.91451,0.818161,4.52706,0.871712,1.10237,1.45599,1,0,1,149,149
"150",-9457.76,-4.17756,1.33484,0.902119,0.845589,4.71106,0.879991,1.12293,1.43929,1,0,1,150,150
"151",-9443.64,-1.41487,1.3083,0.912982,0.85517,4.62091,0.876771,1.07426,1.43633,1,0,1,151,151
"152",-9437.21,-2.23737,1.30552,0.91611,0.859872,4.56618,0.879437,1.04392,1.46044,1,0,1,152,152
"153",-9437.61,-1.03988,1.3051,0.915432,0.830922,4.61171,0.88168,1.07293,1.456,1,0,1,153,153
"154",-9438.16,-4.6038,1.3196,0.893247,0.86259,4.77908,0.873231,1.05583,1.46473,1,0,1,154,154
"155",-9451,-4.41612,1.33782,0.926957,0.843783,4.59448,0.87735,1.06828,1.44696,1,0,1,155,155
"156",-9434.79,-3.3146,1.30031,0.92803,0.861414,4.63306,0.883361,1.06194,1.46697,1,0,1,156,156
"157",-9444.17,-3.20645,1.30634,0.899386,0.837334,4.56797,0.874254,1.05631,1.43725,1,0,1,157,157
